rcp,parameter,attribute,r,p,p_fdr,sig_fdr
26,base_flow_index,frac_high_perc,-0.23659818117526277,2.3860927944001664e-09,7.0010287148016346e-09,True
26,base_flow_index,runoff_ratio,0.5078184060562062,5.129211378033159e-42,1.4195439057043122e-40,True
26,base_flow_index,area,-0.12643667636248712,0.0015933775927640737,0.0026924400247366528,True
26,base_flow_index,dpsbar,0.37787083012410605,1.6426364594314968e-22,1.1680970378179532e-21,True
26,base_flow_index,elev_mean,0.4045681475774527,7.420781261110347e-26,6.724672576439818e-25,True
26,base_flow_index,p_seasonality,-0.3265797333153686,6.711274192260114e-17,3.27254512994017e-16,True
26,base_flow_index,frac_snow,0.27296931232749905,4.500274893753747e-12,1.6517137961304075e-11,True
26,base_flow_index,aridity,-0.5204719375182225,2.0985472388672007e-44,7.674687045000048e-43,True
26,doy_max,frac_high_perc,-0.08766877359569003,0.028925497983586772,0.03997261799621168,True
26,doy_max,runoff_ratio,0.1167840977766551,0.003564193624374121,0.005744385825276529,True
26,doy_max,area,0.018933611645708035,0.6377015935541558,0.6816351062624797,False
26,doy_max,dpsbar,0.078481359718186,0.05060420218650573,0.06720973156806986,False
26,doy_max,elev_mean,0.10036004364450585,0.012340996060392947,0.01826182075988783,True
26,doy_max,p_seasonality,-0.056452396398629985,0.15999963513324258,0.19482422598011878,False
26,doy_max,frac_snow,0.09924338879538527,0.013351227448154548,0.019615002735882722,True
26,doy_max,aridity,-0.13770692296951922,0.0005792857981873019,0.0010352332588896983,True
26,doy_min,frac_high_perc,0.1896763786572404,1.931437485681701e-06,4.3183231120918385e-06,True
26,doy_min,runoff_ratio,0.22017082318648518,2.9607418342655743e-08,7.793829404339198e-08,True
26,doy_min,area,-0.17745122098962385,8.647048568998241e-06,1.8332459077959004e-05,True
26,doy_min,dpsbar,0.13484466637377945,0.0007545782357075435,0.001325365546079802,True
26,doy_min,elev_mean,0.05465301892589912,0.17376063682304674,0.20982416522028285,False
26,doy_min,p_seasonality,-0.2298441067709906,6.877442998170217e-09,1.9033788189530546e-08,True
26,doy_min,frac_snow,-0.0806363058731186,0.044572172882467495,0.059897513164890705,False
26,doy_min,aridity,-0.21935890566129773,3.336671107622909e-08,8.716202077055761e-08,True
26,high_pulse_count,frac_high_perc,0.23518291451406356,2.9867263898765838e-09,8.68865858873188e-09,True
26,high_pulse_count,runoff_ratio,0.07296994663089496,0.06919245092818858,0.09048923339778431,False
26,high_pulse_count,area,0.07210628906646076,0.07255862759186574,0.09428938407876969,False
26,high_pulse_count,dpsbar,0.08157557775384153,0.042138974855118756,0.05685152865828934,False
26,high_pulse_count,elev_mean,-0.03138323809386418,0.4349890191651447,0.4794712116524308,False
26,high_pulse_count,p_seasonality,-0.17391256084896994,1.3101520057023589e-05,2.726820434632552e-05,True
26,high_pulse_count,frac_snow,-0.12887196672797996,0.0012889326416510721,0.002192470141280229,True
26,high_pulse_count,aridity,-0.06199003844622291,0.12279297696212865,0.15278251325543105,False
26,high_pulse_duration_mean,frac_high_perc,0.09167265399377238,0.022331560660553834,0.031584969774042994,True
26,high_pulse_duration_mean,runoff_ratio,-0.18330167715843726,4.272591136372096e-06,9.289030411135938e-06,True
26,high_pulse_duration_mean,area,-0.022924270463166092,0.568546230547377,0.6121885805263029,False
26,high_pulse_duration_mean,dpsbar,-0.11997303831146433,0.002748845753968938,0.004489650795275907,True
26,high_pulse_duration_mean,elev_mean,-0.1828423681417969,4.519426716247421e-06,9.784128874074755e-06,True
26,high_pulse_duration_mean,p_seasonality,0.0406936017155561,0.31132025530172286,0.35460727633922606,False
26,high_pulse_duration_mean,frac_snow,-0.14307481183251367,0.00034803985175620487,0.0006341509042675335,True
26,high_pulse_duration_mean,aridity,0.16533582782295514,3.467391385393256e-05,6.939932438597716e-05,True
26,low_pulse_count,frac_high_perc,0.45782950124767485,1.6784452421037805e-33,2.5275410704621636e-32,True
26,low_pulse_count,runoff_ratio,-0.22992795874769312,6.789001558373532e-09,1.889113477112635e-08,True
26,low_pulse_count,area,0.03736711714210113,0.3525614736048301,0.39629302850861253,False
26,low_pulse_count,dpsbar,-0.13748808197989787,0.0005912194572242182,0.0010538416520094022,True
26,low_pulse_count,elev_mean,-0.16960393995210232,2.1490681736318415e-05,4.392506606385241e-05,True
26,low_pulse_count,p_seasonality,0.09681916093736101,0.015798722348627788,0.022850129498580302,True
26,low_pulse_count,frac_snow,-0.06450299285920244,0.10830898927922632,0.13591716301706833,False
26,low_pulse_count,aridity,0.20661882177598526,2.050535163106767e-07,5.029192121923954e-07,True
26,low_pulse_duration_mean,frac_high_perc,-0.06095614271591661,0.12917328596093391,0.15994370595404633,False
26,low_pulse_duration_mean,runoff_ratio,0.2378305024705629,1.9600851439311257e-09,5.817759963436153e-09,True
26,low_pulse_duration_mean,area,-0.1381517706212244,0.0005557142609073695,0.0009948451104355707,True
26,low_pulse_duration_mean,dpsbar,0.15004192420002005,0.00017490066485569426,0.0003328964327364887,True
