rcp,parameter,attribute,r_partial,p,p_fdr,sig_fdr
26,base_flow_index,frac_high_perc,-0.0902840639250667,0.02445333562180399,0.04526898495276111,True
26,base_flow_index,runoff_ratio,0.1057549544103942,0.00835221113206399,0.018297264484912798,True
26,base_flow_index,area,-0.13138371516153563,0.0010318159800765767,0.002880084480213747,True
26,base_flow_index,dpsbar,-0.07737674499618108,0.05395174955647296,0.08935446876635816,False
26,base_flow_index,elev_mean,-0.0182613477565814,0.6496910272802503,0.713386226033216,False
26,base_flow_index,p_seasonality,0.17704306466784447,9.075351495210912e-06,3.9473373493732896e-05,True
26,base_flow_index,frac_snow,0.13013859422700294,0.0011526890105100912,0.0031488090043202493,True
26,doy_max,frac_high_perc,-0.04725162083446228,0.23967929729824525,0.30944185933606305,False
26,doy_max,runoff_ratio,-0.016604008095432658,0.6796325674218098,0.7417183683434123,False
26,doy_max,area,0.022942467658173926,0.5682392360356662,0.6364279443599461,False
26,doy_max,dpsbar,-0.0539714519160925,0.1791971752490423,0.2445636373511125,False
26,doy_max,elev_mean,-0.015296023509046311,0.7036268231167815,0.7623332932438165,False
26,doy_max,p_seasonality,0.09092760645753625,0.023449251256227155,0.04359030938916915,True
26,doy_max,frac_snow,0.0585029824950192,0.14533818423198908,0.20420277836562947,False
26,doy_min,frac_high_perc,0.2791117545735616,1.4142632862810477e-12,1.689573206010425e-11,True
26,doy_min,runoff_ratio,0.05346470868862911,0.18332028344697712,0.24917147323603872,False
26,doy_min,area,-0.17577294103621688,1.0541327072592176e-05,4.540879354347399e-05,True
26,doy_min,dpsbar,-0.07042006391383897,0.07951610100080789,0.12369171266792336,False
26,doy_min,elev_mean,-0.2026919125813492,3.508700105801734e-07,1.905330481695972e-06,True
26,doy_min,p_seasonality,-0.09264535006006293,0.02094210682857115,0.03950342677557842,True
26,doy_min,frac_snow,-0.16387486020460268,4.0732704247958577e-05,0.00015530426811136548,True
26,high_pulse_count,frac_high_perc,0.2687227843711912,9.850296287087381e-12,1.0633572859313606e-10,True
26,high_pulse_count,runoff_ratio,0.03949134223256234,0.3258438697855989,0.401038608966891,False
26,high_pulse_count,area,0.07397878807906513,0.06542357062489128,0.10486497187817993,False
26,high_pulse_count,dpsbar,0.0534377614057165,0.18354148698190353,0.24917147323603872,False
26,high_pulse_count,elev_mean,-0.13341554362714378,0.000859425104481327,0.00246020732784431,True
26,high_pulse_count,p_seasonality,-0.20805146702678484,1.6812022134033695e-07,9.845471785682476e-07,True
26,high_pulse_count,frac_snow,-0.15755236886138557,8.049351405230333e-05,0.0002919926663597724,True
26,high_pulse_duration_mean,frac_high_perc,0.04246686149309629,0.2906881139155837,0.3617848354317835,False
26,high_pulse_duration_mean,runoff_ratio,-0.08025118497559613,0.045603472232686626,0.07812755472368493,False
26,high_pulse_duration_mean,area,-0.02785849953312225,0.4883308688853771,0.5638459517027035,False
26,high_pulse_duration_mean,dpsbar,0.021388692630478743,0.5947325994784983,0.6603226878968209,False
26,high_pulse_duration_mean,elev_mean,-0.08587412808946551,0.03238594496190521,0.05803561337173413,False
26,high_pulse_duration_mean,p_seasonality,-0.1555398627096852,9.944801552312544e-05,0.00034943302709302115,True
26,high_pulse_duration_mean,frac_snow,-0.09616361577939526,0.01652476331080784,0.032469710365096105,True
26,low_pulse_count,frac_high_perc,0.4230156085660638,2.3718108668769057e-28,2.1251425367217074e-26,True
26,low_pulse_count,runoff_ratio,-0.10310159097855992,0.010141807665461201,0.021381316866478203,True
26,low_pulse_count,area,0.03240413219132816,0.42019004193958753,0.4960346213147173,False
26,low_pulse_count,dpsbar,0.04822397453736327,0.23013456419882378,0.3001463894063262,False
26,low_pulse_count,elev_mean,-0.008847354356414788,0.8258438659684619,0.8654457355646105,False
26,low_pulse_count,p_seasonality,-0.11741290463025812,0.0033878703467529444,0.008248727800789777,True
26,low_pulse_count,frac_snow,0.002269951663133426,0.9549809295263051,0.9661042454813535,False
26,low_pulse_duration_mean,frac_high_perc,-0.004821472515849988,0.904555155860154,0.9273242787765423,False
26,low_pulse_duration_mean,runoff_ratio,0.17728245301372045,8.821756657701374e-06,3.874653904559035e-05,True
26,low_pulse_duration_mean,area,-0.13547208475715264,0.0007124020458195659,0.0020724423151114646,True
26,low_pulse_duration_mean,dpsbar,0.009963488875789364,0.804293198398592,0.8478196538413394,False
26,low_pulse_duration_mean,elev_mean,-0.05624927161334692,0.16151060087624639,0.22297919627907054,False
26,low_pulse_duration_mean,p_seasonality,0.2318163682162337,5.0657018441651786e-09,3.814175506194958e-08,True
26,low_pulse_duration_mean,frac_snow,0.05257401128082183,0.1907366630304154,0.2581571753402601,False
26,max_1day,frac_high_perc,0.026862413382468215,0.5040188392734068,0.5780247131689188,False
26,max_1day,runoff_ratio,0.08405407906207824,0.03625074928939627,0.06444577651448226,False
26,max_1day,area,0.022278938577332357,0.5794840605097241,0.645696816773625,False
26,max_1day,dpsbar,-0.12267163395338808,0.0021958757919541775,0.005686429796505616,True
26,max_1day,elev_mean,-0.042464061017657616,0.2907199570433975,0.3617848354317835,False
26,max_1day,p_seasonality,-0.09361052843236016,0.019638300161396467,0.03775947842191252,True
26,max_1day,frac_snow,0.012740609460760291,0.7513441121606682,0.8023889445720604,False
26,max_30day,frac_high_perc,-0.07093921035927642,0.07731865824746163,0.12069253970335475,False
26,max_30day,runoff_ratio,0.07201862223596696,0.07290766795644868,0.1152121172645115,False
26,max_30day,area,0.016973397338934368,0.6729132676886619,0.7361786176422968,False
26,max_30day,dpsbar,-0.07509862447685228,0.06143948476341618,0.10009050608731072,False
26,max_30day,elev_mean,0.11583849539313738,0.0038450601174444825,0.009187130307280683,True
26,max_30day,p_seasonality,-0.0010844673875047492,0.9784833844555321,0.9828137171469569,False
26,max_30day,frac_snow,0.1113016037354938,0.005491969640098139,0.012585178510301618,True
26,max_3day,frac_high_perc,0.016146808440485046,0.6879844019188779,0.7480995438341197,False
26,max_3day,runoff_ratio,0.05871087726160521,0.14391102745378487,0.20306185921037992,False
26,max_3day,area,0.014699218572029379,0.7146752302629046,0.7733683651154136,False
26,max_3day,dpsbar,-0.04336182590804631,0.2806316174142628,0.35167262825619505,False
26,max_3day,elev_mean,0.04635951614826478,0.24867819018865636,0.3174012228048947,False
26,max_3day,p_seasonality,-0.04112549956051269,0.30620843319298335,0.3794782242612906,False
26,max_3day,frac_snow,0.023581257877367937,0.5575130043466662,0.6283417004963684,False
26,max_7day,frac_high_perc,0.030107568393172704,0.453896439437053,0.5281704022540253,False
26,max_7day,runoff_ratio,0.0450715567879864,0.2620817027664236,0.3331343380842376,False
26,max_7day,area,0.04926618228513839,0.22020697203881268,0.28963565334995184,False
26,max_7day,dpsbar,-0.11491436176830715,0.004138781703883471,0.009784560439787836,True
26,max_7day,elev_mean,0.037104380675821155,0.3559595890892668,0.432167739598893,False
26,max_7day,p_seasonality,-0.023644316232234418,0.5564595166771259,0.6283417004963684,False
26,max_7day,frac_snow,0.012107906166164278,0.7633149077943842,0.8142025683140097,False
26,max_90day,frac_high_perc,0.0015024013030959238,0.970194587382907,0.977833914842615,False
26,max_90day,runoff_ratio,0.04755190076166617,0.23670246047532256,0.3078162620985327,False
26,max_90day,area,0.007309604403019698,0.855747661104658,0.8905341513934653,False
26,max_90day,dpsbar,-0.11878549793737617,0.0030301952943289057,0.0075001518887256894,True
26,max_90day,elev_mean,0.12519375342810415,0.0017730226097265817,0.004700083604482299,True
26,max_90day,p_seasonality,-0.07747758069935355,0.053638707421616444,0.08900052194401543,False
26,max_90day,frac_snow,0.11986272995386746,0.0027739392942598387,0.006904026687935598,True
26,mean_fall_rate,frac_high_perc,0.09758790094312893,0.014983095888639386,0.029899451929222474,True
26,mean_fall_rate,runoff_ratio,0.03344649174104354,0.40538872526656883,0.4829551690643138,False
26,mean_fall_rate,area,-0.015920022364657484,0.6921413940753767,0.7517075019291364,False
26,mean_fall_rate,dpsbar,-0.1039655981142906,0.009524836504700268,0.020271386005252825,True
26,mean_fall_rate,elev_mean,-0.12880633466405858,0.001296380971492932,0.0035198707589626276,True
26,mean_fall_rate,p_seasonality,-0.26080140077731084,4.0947142098182354e-11,4.076515479996821e-10,True
26,mean_fall_rate,frac_snow,-0.1489922365520905,0.00019438477454957167,0.000649883425359762,True
