catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,2.187,3.3513,3.1345,2.7258,2.5941,1.5482,1.0397,0.5593,0.3802,0.4502,0.4425,0.744,0.0693,12.0209,0.0733,10.257,0.0776,7.9769,0.1121,4.8711,0.2551,3.4351,0.0499,262.6667,101.1667,5.3667,21.7459,15.7667,6.4599,0.8871,0.3253,116.7667
2001,2.413,3.7786,3.7071,3.4345,3.16,2.028,1.6134,1.0799,0.8083,0.7023,0.6594,0.9477,0.2733,14.3354,0.2779,11.3855,0.2908,8.7343,0.3713,5.4252,0.5691,3.9882,0.145,287.9333,99.7667,6.3333,20.9055,19.3333,4.9837,1.1296,0.4404,127.5667
2002,3.2826,4.5027,4.3705,3.9887,3.6259,2.1582,1.7326,0.9818,0.755,0.7443,0.7919,1.2556,0.1145,18.4166,0.1176,14.9409,0.1246,10.7484,0.2173,6.503,0.5386,4.7721,0.0538,285.0333,96.3333,8.8667,11.9603,20.6667,4.4452,1.0874,0.7374,112.6
3003,6.5636,6.4781,7.6429,7.239,5.6997,3.8287,3.2154,2.2796,1.3564,1.7811,1.9088,3.529,0.0385,34.7604,0.0453,25.8838,0.0655,17.7259,0.4069,10.9785,1.3173,8.0388,0.0152,275.0333,108.0,12.3333,7.1615,30.9333,3.124,2.9324,1.8771,154.3
4001,4.9767,6.3076,7.8724,7.886,6.4323,4.3548,3.794,2.9509,2.1716,1.8717,1.9355,2.7941,1.0541,19.3101,1.0735,17.5382,1.1097,14.4301,1.3557,10.3221,1.8196,8.002,0.2511,288.0333,87.0,5.3667,24.1073,10.4,11.1968,0.6591,0.358,96.0
4003,2.9606,4.4774,5.3824,4.9826,4.2498,2.7556,2.4556,1.619,1.2121,0.9453,0.8077,1.0344,0.4628,20.928,0.4748,16.9969,0.4957,12.4708,0.588,7.5135,0.793,5.446,0.1816,231.2333,86.5,6.1,22.5483,15.3667,6.4628,1.4639,0.4883,106.9667
4005,7.1,7.7449,9.6855,8.8395,6.8947,3.8793,3.7087,2.482,1.5029,1.4449,1.7753,3.5874,0.953,35.7267,0.958,28.1396,0.9624,20.4785,1.0041,13.3078,1.3903,9.7934,0.2001,251.9667,100.3,11.5,8.4531,22.4667,4.3491,3.1472,1.399,123.6
4006,7.7651,8.1179,9.9351,9.2604,7.2649,4.1092,3.9191,2.7875,1.6712,1.8492,2.159,4.3497,0.6448,34.1028,0.6494,27.5403,0.6629,20.9711,0.8396,13.7948,1.6101,10.2207,0.1277,271.1,87.9333,11.3,8.4499,20.5333,4.811,2.6281,1.3618,134.2
5003,5.8535,7.5886,9.9355,10.0456,8.4366,5.8144,5.3109,4.4731,3.5373,2.9589,2.7897,3.6525,2.11,22.857,2.1425,20.2483,2.1924,17.843,2.4369,13.5689,2.8788,10.2193,0.38,294.3,86.6667,8.3,14.1485,9.8333,10.9717,0.967,0.4349,127.9
6007,4.6284,6.0432,7.969,7.7551,6.5547,4.2703,3.9595,3.2668,2.6326,2.273,2.2737,2.8385,1.1735,17.799,1.2015,16.7771,1.2713,14.6718,1.6524,10.7416,2.1733,8.0712,0.2839,280.0,91.3,6.7667,15.2056,10.4,10.7196,0.6766,0.3774,83.0333
6008,3.6631,4.9806,6.1054,5.2013,4.2005,2.1451,1.9145,0.8673,0.5111,0.3333,0.449,1.0769,0.0216,22.573,0.0224,18.9229,0.0245,13.9884,0.0535,8.5008,0.2583,6.075,0.0092,304.8,83.1333,6.2667,17.5902,14.1333,6.5466,1.1939,0.6812,90.3667
7001,3.3874,3.993,4.7597,4.0359,3.4704,2.6855,2.2086,1.7016,1.5531,1.7347,1.7531,1.8643,0.5831,21.3156,0.5988,15.8379,0.6306,11.3113,0.8422,6.5176,1.3157,4.8374,0.2309,251.6333,102.4,10.8667,6.8036,26.1667,3.7904,1.7873,0.8516,144.0
7002,2.7867,3.3545,3.7451,3.125,2.6273,2.2357,1.7211,1.2411,1.1785,1.4464,1.467,1.4583,0.2138,17.9164,0.2271,12.834,0.2562,9.2471,0.4405,5.2626,0.9355,3.8895,0.1171,252.4,99.9667,9.1,9.427,19.6667,4.852,1.093,0.5209,137.1333
7003,0.9074,1.3545,1.5466,1.429,1.434,1.5403,1.2968,0.9393,0.8619,0.8396,0.8312,0.6754,0.1192,8.8337,0.132,7.0863,0.1591,4.9704,0.281,2.7162,0.5285,1.9081,0.1388,230.5333,145.8,8.2667,11.111,14.2333,6.4373,0.3672,0.2073,100.0
7005,1.8262,2.1717,2.2178,1.8387,1.6599,1.5913,1.1955,0.8575,0.895,1.0993,1.079,0.9765,0.2765,16.0224,0.2791,11.0948,0.2906,7.7446,0.3446,3.761,0.6187,2.5074,0.2049,258.0333,127.4,7.6333,11.9917,17.9333,5.2805,0.9364,0.3357,113.3333
7006,1.5113,1.7144,1.811,1.6255,1.639,1.8032,1.6422,1.4054,1.4349,1.5473,1.359,1.1328,0.1778,11.7635,0.1958,9.4498,0.233,6.502,0.5055,3.2581,0.9424,2.3342,0.15,228.2667,155.1667,15.3333,5.2853,20.5333,4.4779,0.6578,0.4058,106.6667
8004,2.2402,3.1997,3.2831,2.9945,2.5752,2.5493,2.2287,1.5813,1.5963,1.8126,1.6311,1.4577,0.4262,14.6342,0.4578,10.5672,0.519,7.5105,0.8002,4.6243,1.2755,3.5646,0.2289,251.6667,122.1,11.3667,8.3941,21.2667,4.2479,0.842,0.3856,138.9
8005,1.882,2.8749,3.9675,4.1764,3.8614,2.9134,2.6111,2.146,1.8642,1.6305,1.4407,1.3659,0.8976,8.7842,0.9147,8.0532,0.9489,6.8802,1.1433,5.1309,1.4286,4.1769,0.3764,248.9,113.0,6.8667,19.5414,9.9667,11.206,0.3263,0.178,97.4667
8006,1.6512,2.3801,2.9311,2.9039,2.6404,2.202,2.0754,1.6374,1.5219,1.4851,1.2413,1.1218,0.4154,7.6136,0.4385,6.7451,0.4925,5.405,0.7581,3.7524,1.1595,3.0764,0.2482,266.6667,126.7,8.4667,13.2359,14.1,6.1048,0.3455,0.2088,103.7667
8009,1.8437,2.7262,3.5406,3.1574,2.6552,2.1541,1.7227,1.1801,0.9573,0.9533,0.9565,0.9558,0.1956,13.8542,0.2141,10.5108,0.2508,7.8035,0.4364,4.6589,0.7479,3.5447,0.132,263.3333,109.0667,9.1333,11.0319,18.7333,5.1224,0.8545,0.4132,142.6333
8011,1.5262,2.2627,2.338,2.2062,1.9932,2.1499,1.981,1.4203,1.3691,1.4454,1.2409,1.0926,0.3592,11.8309,0.3842,8.1084,0.4284,5.6773,0.6424,3.4679,1.0017,2.7038,0.2432,248.9333,143.5667,10.0667,10.5471,19.1,4.6609,0.6305,0.2679,137.2333
8013,2.7174,4.1827,4.7845,4.5123,3.8896,2.989,2.5731,1.8691,1.7434,1.7141,1.5659,1.5894,0.4479,16.0672,0.49,12.0777,0.5703,9.0027,0.9666,6.0645,1.4198,4.8827,0.2018,217.9,104.5333,9.2333,10.1271,14.5,7.4721,0.8968,0.4364,138.6333
9002,1.3181,2.355,2.2261,1.9976,1.8355,1.7873,1.534,0.956,0.845,0.8919,0.869,0.7877,0.1304,10.5616,0.1425,8.3326,0.1712,5.8147,0.3182,3.6295,0.5988,2.5956,0.1161,270.1333,117.4667,7.7,13.0304,11.1,8.0105,0.4105,0.2324,100.3333
9003,1.278,2.2863,2.1457,1.8604,1.6658,1.6556,1.2951,0.8201,0.6763,0.6873,0.8311,0.6993,0.2018,13.6296,0.2096,9.9144,0.2239,7.0291,0.2716,3.7005,0.4609,2.4981,0.1717,199.4,107.1333,5.4667,21.9995,17.7667,4.961,0.7197,0.2616,124.4667
9004,0.8844,1.8191,2.0431,1.9388,1.8387,1.8495,1.7599,1.1757,0.9035,0.7585,0.6482,0.5672,0.1876,5.8038,0.199,4.8546,0.2238,4.0246,0.3231,3.0591,0.5399,2.3853,0.1636,213.5333,108.6667,5.3667,25.7659,7.3667,11.2185,0.2706,0.1087,128.4
9005,1.9915,3.0143,2.5267,2.3634,2.1261,2.3735,2.0383,1.441,1.443,1.5583,1.3433,1.2969,0.5422,17.3915,0.5661,12.285,0.5945,8.3482,0.7653,4.5869,1.1004,3.1539,0.3074,225.0333,122.0333,14.4667,5.7047,21.4667,4.1375,1.1223,0.4851,139.2667
10002,1.2628,2.3528,2.1019,1.9301,1.8206,1.5594,1.2732,0.8212,0.7216,0.7806,0.7234,0.7649,0.182,9.1718,0.195,7.517,0.2189,5.2789,0.306,3.3521,0.5415,2.4328,0.1646,242.2,105.2,6.7667,15.7118,13.5333,7.0281,0.3921,0.2084,101.0667
10003,1.039,2.0697,2.1279,1.9156,1.7621,1.5884,1.3423,0.8875,0.7073,0.7008,0.6973,0.6677,0.1959,6.4672,0.2046,5.5666,0.2226,4.3059,0.2944,3.1376,0.5103,2.3623,0.1743,222.9,102.2667,4.4667,26.4195,6.1,20.7919,0.2151,0.106,90.0
11001,0.9088,1.9836,2.1306,1.9332,1.81,1.6666,1.531,0.9744,0.8063,0.7539,0.7081,0.5955,0.2081,6.2959,0.2172,5.5243,0.2379,4.5229,0.3326,3.2186,0.549,2.4001,0.1814,212.6,109.1,5.9,21.1427,7.7667,11.6154,0.2307,0.1127,89.6333
11003,1.0864,2.1503,2.3302,2.1652,1.9614,1.9834,1.8185,1.1865,1.0175,0.9571,0.871,0.7294,0.2936,7.3095,0.3104,5.9552,0.3389,4.8034,0.4752,3.3793,0.7246,2.5967,0.2237,235.8333,105.7,7.5,15.3264,10.3667,8.4336,0.3649,0.1447,126.1
