parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_11_Aug,-0.54,0.821,0.361,0.023,0.008
min_90day,-0.55,0.807,0.362,0.01,0.005
month_12_Sep,-0.557,0.805,0.422,0.018,0.008
min_30day,-0.555,0.795,0.461,0.032,0.026
month_10_Jul,-0.405,0.736,0.119,0.027,0.01
min_7day,-0.491,0.72,0.459,0.074,0.052
base_flow_index,-0.498,0.718,0.477,0.074,0.047
low_pulse_duration_mean,-0.442,0.707,0.198,0.019,0.003
min_3day,-0.46,0.7,0.44,0.093,0.066
min_1day,-0.443,0.689,0.436,0.108,0.068
month_01_Oct,-0.344,0.556,0.138,0.019,0.003
doy_min,-0.233,0.493,0.084,0.097,0.066
month_09_Jun,-0.215,0.411,0.043,0.056,0.002
month_08_May,-0.158,0.322,0.016,0.061,0.003
month_05_Feb,-0.107,0.309,0.014,0.095,0.002
month_02_Nov,-0.118,0.242,0.029,0.05,0.0
number_of_reversals,-0.047,0.221,0.018,0.143,0.006
month_03_Dec,-0.085,0.221,0.019,0.079,0.0
high_pulse_duration_mean,-0.081,0.219,0.008,0.089,0.026
mean_rise_rate,0.021,0.188,0.01,0.217,0.003
month_07_Apr,-0.037,0.172,0.008,0.124,0.003
month_04_Jan,-0.076,0.171,0.014,0.084,0.002
max_90day,-0.041,0.167,0.008,0.079,0.0
doy_max,0.027,0.167,0.008,0.198,0.016
max_1day,-0.034,0.163,0.002,0.093,0.0
max_3day,-0.043,0.142,0.008,0.092,0.0
mean_fall_rate,0.083,0.127,0.0,0.271,0.005
max_30day,-0.025,0.127,0.005,0.081,0.0
month_06_Mar,-0.062,0.124,0.01,0.056,0.0
max_7day,0.003,0.097,0.006,0.095,0.0
high_pulse_count,0.152,0.063,0.0,0.295,0.052
low_pulse_count,0.31,0.063,0.003,0.483,0.214
