parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_05_Feb,-0.184,0.335,0.008,0.027,0.002
month_03_Dec,-0.12,0.28,0.013,0.085,0.002
doy_min,-0.052,0.271,0.032,0.187,0.032
high_pulse_duration_mean,-0.093,0.232,0.003,0.087,0.006
max_7day,-0.101,0.229,0.002,0.074,0.002
month_11_Aug,-0.063,0.227,0.008,0.111,0.016
base_flow_index,-0.049,0.225,0.01,0.127,0.039
max_90day,-0.143,0.219,0.005,0.018,0.0
max_3day,-0.091,0.213,0.002,0.079,0.0
max_1day,-0.079,0.213,0.002,0.097,0.002
month_04_Jan,-0.115,0.203,0.005,0.026,0.0
month_06_Mar,-0.12,0.2,0.006,0.019,0.0
doy_max,-0.023,0.198,0.008,0.14,0.006
max_30day,-0.092,0.19,0.0,0.063,0.0
month_02_Nov,-0.069,0.179,0.003,0.04,0.0
low_pulse_duration_mean,-0.021,0.172,0.002,0.137,0.023
month_12_Sep,0.002,0.153,0.003,0.163,0.011
mean_rise_rate,-0.023,0.122,0.0,0.092,0.005
month_01_Oct,0.043,0.113,0.005,0.161,0.01
min_30day,0.088,0.085,0.002,0.227,0.04
mean_fall_rate,0.001,0.084,0.003,0.103,0.0
min_1day,0.193,0.082,0.0,0.329,0.13
min_3day,0.172,0.082,0.0,0.319,0.116
min_7day,0.156,0.082,0.002,0.304,0.101
month_08_May,0.088,0.055,0.0,0.198,0.002
min_90day,0.093,0.05,0.0,0.188,0.008
month_10_Jul,0.085,0.048,0.0,0.182,0.01
month_09_Jun,0.103,0.045,0.0,0.229,0.005
number_of_reversals,0.211,0.04,0.0,0.385,0.018
low_pulse_count,0.271,0.031,0.0,0.452,0.092
month_07_Apr,0.144,0.026,0.0,0.261,0.003
high_pulse_count,0.265,0.024,0.0,0.454,0.063
