parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_90day,-0.715,0.982,0.581,0.0,0.0
month_12_Sep,-0.66,0.95,0.506,0.008,0.008
month_11_Aug,-0.643,0.947,0.43,0.005,0.003
month_10_Jul,-0.58,0.926,0.258,0.0,0.0
min_30day,-0.671,0.91,0.62,0.014,0.014
min_3day,-0.64,0.87,0.647,0.05,0.04
min_1day,-0.623,0.868,0.647,0.061,0.05
min_7day,-0.638,0.86,0.636,0.047,0.034
low_pulse_duration_mean,-0.542,0.833,0.279,0.003,0.0
base_flow_index,-0.544,0.787,0.499,0.056,0.032
month_01_Oct,-0.495,0.776,0.24,0.0,0.0
month_03_Dec,-0.447,0.765,0.092,0.0,0.0
month_09_Jun,-0.406,0.688,0.095,0.0,0.0
month_02_Nov,-0.438,0.681,0.208,0.003,0.0
number_of_reversals,-0.304,0.556,0.1,0.047,0.002
mean_rise_rate,-0.309,0.525,0.035,0.008,0.0
mean_fall_rate,-0.297,0.478,0.04,0.005,0.0
month_07_Apr,-0.228,0.425,0.048,0.035,0.0
max_30day,-0.228,0.401,0.026,0.027,0.0
max_3day,-0.232,0.401,0.024,0.018,0.0
month_08_May,-0.243,0.388,0.068,0.013,0.0
max_1day,-0.214,0.372,0.024,0.023,0.0
max_7day,-0.208,0.367,0.021,0.023,0.0
high_pulse_duration_mean,-0.192,0.349,0.018,0.035,0.016
month_06_Mar,-0.232,0.345,0.035,0.005,0.0
max_90day,-0.163,0.337,0.035,0.05,0.0
doy_min,-0.134,0.332,0.027,0.101,0.077
month_05_Feb,-0.09,0.314,0.045,0.195,0.006
high_pulse_count,-0.128,0.311,0.024,0.1,0.016
month_04_Jan,0.099,0.166,0.032,0.356,0.023
doy_max,0.055,0.137,0.013,0.216,0.013
low_pulse_count,0.266,0.04,0.0,0.449,0.11
