catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.8659,2.8509,2.591,2.5287,2.2087,1.644,0.8731,0.5449,0.3812,0.2726,0.3462,1.1986,0.0691,10.9386,0.0705,9.2053,0.0754,7.2161,0.1177,4.1329,0.256,2.993,0.0521,275.931,119.1034,4.6207,26.3382,15.4138,5.9566,0.8,0.3024,117.1034
2001,2.248,3.412,3.1496,3.1729,3.0747,2.4827,1.6572,1.1083,0.841,0.6402,0.6965,1.6556,0.3037,14.5186,0.317,11.6215,0.3332,8.4908,0.4341,4.9901,0.6434,3.6675,0.1655,275.8276,104.2069,5.2759,23.6414,20.0345,4.5752,1.1021,0.4316,121.7241
2002,2.7293,4.0592,3.6336,3.5672,3.6495,3.01,1.8519,1.0125,0.8096,0.6699,0.8498,2.2562,0.121,19.5299,0.125,15.962,0.134,11.1003,0.2615,6.2797,0.5903,4.3891,0.0578,249.4483,106.6897,10.1724,9.8129,20.7241,4.368,1.0891,0.7311,109.3448
3003,5.1302,6.0497,5.8559,6.8741,6.3979,5.1807,3.2123,1.7723,1.3449,1.5353,2.0132,4.6192,0.0366,36.3305,0.0445,26.3956,0.0699,17.3985,0.5005,10.6854,1.2218,7.5255,0.0174,228.069,118.5517,12.5517,7.4032,30.0345,3.0116,2.8223,1.8006,149.2759
4001,4.5316,5.7779,6.5312,7.1613,6.9246,5.9648,4.2131,2.8352,2.0325,1.7126,1.9613,3.4658,1.0557,19.6652,1.0791,17.4972,1.1341,14.0645,1.3833,9.6841,1.7946,7.6207,0.2597,255.2069,118.0,4.4483,26.7394,10.8966,8.8292,0.6787,0.3763,93.0345
4003,2.8114,4.0103,4.4894,4.4436,4.4039,3.6845,2.381,1.5111,1.2751,0.9331,0.8615,1.9496,0.5277,21.1493,0.5314,17.2054,0.5396,12.6396,0.6375,6.8769,0.88,5.0728,0.198,288.8966,115.2414,5.6207,20.6978,16.3448,5.8142,1.5647,0.5086,103.1724
4005,5.4315,6.9057,7.5023,8.6092,7.7946,6.2154,3.9056,2.1784,1.512,1.4813,1.8639,4.7697,0.9198,40.232,0.9279,29.7369,0.9403,21.1612,1.0243,12.4805,1.3814,9.1969,0.1965,200.1379,112.1034,12.0,11.1829,22.2414,4.0757,3.3893,1.4774,121.0345
4006,5.8656,7.298,7.742,9.0233,8.1955,6.527,4.1976,2.2465,1.5881,1.7488,2.3228,5.4252,0.6239,34.9493,0.6354,27.2682,0.6532,20.3213,0.9218,13.0731,1.4931,9.6583,0.1285,239.2069,112.1034,12.2759,7.968,19.6207,4.688,2.7161,1.3883,131.4483
5003,5.1321,6.5588,7.7013,8.8211,9.103,8.051,5.8136,4.2697,3.396,2.859,2.8324,4.1135,2.0574,20.8875,2.1011,19.0518,2.165,16.5526,2.4836,12.0868,2.8833,9.5008,0.3839,242.2759,113.5172,7.2759,18.653,10.1379,12.2207,0.9467,0.428,127.3448
6007,4.0578,5.2105,6.0061,6.9126,7.1682,6.2022,4.4627,3.0158,2.3655,2.1059,2.2741,3.393,1.0962,16.6506,1.1291,15.7198,1.2069,13.5608,1.6343,9.5981,2.1083,7.5334,0.2755,221.2069,116.0345,5.7586,18.3619,10.2759,10.3236,0.6428,0.3741,85.2069
