parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_90day,-0.933,0.995,0.936,0.0,0.0
min_30day,-0.932,0.994,0.958,0.0,0.0
month_11_Aug,-0.827,0.99,0.767,0.0,0.0
min_7day,-0.943,0.987,0.963,0.005,0.005
month_12_Sep,-0.861,0.981,0.876,0.0,0.0
min_3day,-0.933,0.977,0.948,0.011,0.006
month_10_Jul,-0.847,0.976,0.844,0.0,0.0
min_1day,-0.918,0.968,0.939,0.018,0.011
low_pulse_duration_mean,-0.769,0.968,0.675,0.0,0.0
month_09_Jun,-0.736,0.958,0.617,0.0,0.0
base_flow_index,-0.893,0.948,0.9,0.008,0.005
month_01_Oct,-0.638,0.789,0.599,0.01,0.0
month_03_Dec,-0.449,0.729,0.164,0.002,0.0
mean_fall_rate,-0.468,0.723,0.237,0.003,0.0
number_of_reversals,-0.466,0.686,0.322,0.023,0.0
month_05_Feb,-0.373,0.684,0.081,0.026,0.0
month_02_Nov,-0.452,0.641,0.309,0.018,0.0
mean_rise_rate,-0.402,0.628,0.167,0.002,0.0
month_08_May,-0.375,0.604,0.106,0.005,0.0
high_pulse_duration_mean,-0.352,0.581,0.095,0.016,0.006
max_90day,-0.355,0.544,0.108,0.005,0.0
doy_min,-0.182,0.451,0.076,0.134,0.047
max_3day,-0.232,0.417,0.043,0.024,0.0
max_7day,-0.244,0.417,0.042,0.016,0.0
max_1day,-0.233,0.399,0.045,0.026,0.0
max_30day,-0.231,0.386,0.035,0.018,0.0
month_04_Jan,-0.185,0.364,0.082,0.055,0.0
high_pulse_count,-0.115,0.3,0.034,0.111,0.013
month_07_Apr,-0.197,0.285,0.039,0.008,0.0
month_06_Mar,-0.171,0.272,0.034,0.018,0.002
low_pulse_count,0.066,0.256,0.035,0.311,0.137
doy_max,0.014,0.132,0.003,0.147,0.013
