parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.606,0.895,0.388,0.002,0.0
min_90day,-0.598,0.871,0.38,0.0,0.0
min_3day,-0.575,0.82,0.427,0.014,0.006
min_7day,-0.574,0.81,0.422,0.006,0.005
month_10_Jul,-0.495,0.802,0.198,0.008,0.0
min_1day,-0.565,0.802,0.435,0.023,0.011
min_30day,-0.541,0.762,0.372,0.003,0.0
month_11_Aug,-0.463,0.728,0.232,0.008,0.0
low_pulse_duration_mean,-0.436,0.71,0.169,0.005,0.0
base_flow_index,-0.473,0.707,0.291,0.008,0.005
month_01_Oct,-0.422,0.667,0.156,0.005,0.0
mean_fall_rate,-0.317,0.544,0.064,0.01,0.0
month_09_Jun,-0.315,0.533,0.077,0.018,0.0
mean_rise_rate,-0.263,0.465,0.037,0.019,0.0
month_08_May,-0.25,0.425,0.048,0.01,0.0
month_02_Nov,-0.262,0.422,0.068,0.016,0.0
month_03_Dec,-0.217,0.417,0.04,0.027,0.0
max_90day,-0.181,0.38,0.037,0.066,0.0
number_of_reversals,-0.203,0.369,0.035,0.05,0.0
month_05_Feb,-0.19,0.33,0.027,0.032,0.0
high_pulse_duration_mean,-0.151,0.329,0.026,0.072,0.006
max_1day,-0.152,0.312,0.021,0.068,0.0
max_3day,-0.144,0.3,0.031,0.066,0.0
max_7day,-0.15,0.279,0.039,0.056,0.0
month_06_Mar,-0.148,0.275,0.019,0.039,0.0
month_07_Apr,-0.11,0.206,0.024,0.056,0.0
doy_min,0.007,0.206,0.023,0.205,0.037
max_30day,-0.068,0.196,0.018,0.1,0.0
high_pulse_count,0.041,0.138,0.006,0.185,0.021
month_04_Jan,0.083,0.122,0.027,0.28,0.014
doy_max,0.109,0.074,0.002,0.245,0.013
low_pulse_count,0.197,0.072,0.002,0.356,0.11
