catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.7099,2.8319,2.617,2.5097,2.0773,1.5654,0.8641,0.7065,0.3764,0.2551,0.3478,0.7598,0.0611,9.8224,0.0622,8.4137,0.0649,6.6644,0.0879,4.0913,0.2084,2.9574,0.0462,291.2667,94.9333,3.8667,37.2966,16.5333,5.0827,0.6877,0.274,119.6333
2001,2.1612,3.2848,3.233,3.2696,2.7976,2.2357,1.5599,1.3003,0.8756,0.5792,0.5542,1.1457,0.2547,13.5199,0.2582,10.9819,0.266,8.1923,0.3161,4.7632,0.5411,3.6267,0.1374,280.2333,99.2333,5.0333,24.2558,19.3667,4.5356,0.9567,0.3923,125.0333
2002,2.753,4.0322,3.9178,3.8032,3.1882,2.5488,1.6567,1.3785,0.7598,0.5382,0.5296,1.6155,0.1,17.1544,0.1021,14.2249,0.1071,10.1494,0.1726,5.8341,0.4526,4.3782,0.0476,294.7,89.8,8.3667,12.6443,20.5667,4.2327,0.9754,0.6584,111.0333
3003,5.0145,6.4256,6.7636,6.6546,6.0784,4.5803,3.4277,2.6876,1.5556,1.6351,1.6063,4.5588,0.0609,30.675,0.0726,21.7375,0.1079,15.825,0.5105,9.6807,1.3574,7.5015,0.025,246.9,123.9667,11.5333,7.1983,33.0,2.9852,2.7029,1.8275,155.1667
4001,4.5734,5.613,7.0754,7.2014,6.8433,5.1738,4.1805,3.4137,2.4427,1.887,1.714,3.1699,1.097,15.8482,1.1114,14.6238,1.1465,12.7291,1.3715,9.2549,1.8516,7.5371,0.2588,290.6333,98.8,3.5333,26.25,11.0333,9.2622,0.5747,0.3407,95.1667
4003,2.5379,3.9022,4.5635,4.4355,4.2447,3.17,2.3095,1.9202,1.2049,0.8869,0.7588,1.2092,0.4459,17.3335,0.4494,14.0594,0.4603,10.7099,0.527,6.3861,0.7763,4.9373,0.1777,233.8,106.3667,5.1,29.3352,15.9,5.7961,1.27,0.4373,104.6
4005,5.5602,7.4285,8.8122,8.4871,7.8085,5.3107,4.139,2.9957,1.8409,1.5202,1.6013,4.8521,0.9732,34.96,0.9778,26.4212,0.9888,19.5317,1.064,12.1192,1.4903,9.3185,0.2013,195.9,85.5,8.5667,10.2523,23.9333,4.1739,3.0087,1.4364,128.2667
4006,6.0976,7.7691,9.1336,8.957,8.1536,5.66,4.4918,3.3073,2.0849,1.8611,1.9209,5.6879,0.6592,32.2221,0.6658,25.6186,0.6859,19.7438,0.9498,12.6886,1.731,9.7913,0.1295,234.0,97.9333,10.9,7.9543,21.2333,4.6993,2.487,1.389,136.7333
5003,5.6054,6.9249,9.1814,9.3377,9.3232,6.9755,5.8637,4.9478,3.8818,3.2459,2.8146,4.2664,2.1806,20.1042,2.2082,18.0025,2.2577,16.1279,2.5356,12.1894,3.1124,9.8651,0.3781,281.9,107.1667,5.7667,19.2167,10.5667,10.2412,0.9088,0.436,132.9667
6007,4.2011,5.4164,7.1987,7.4371,7.1758,5.3377,4.4416,3.6476,2.7379,2.25,2.0806,3.1508,1.1889,16.5608,1.2162,15.6274,1.2749,13.678,1.6175,9.8653,2.1756,7.7937,0.2794,271.4,110.9,5.5,16.3382,10.7333,9.7524,0.6226,0.3809,85.5
6008,2.8924,4.7398,5.475,5.2214,4.7203,2.9317,2.0158,1.1685,0.4843,0.1742,0.3301,1.5137,0.0212,20.5188,0.0218,16.9691,0.0235,12.5997,0.0447,7.6412,0.2109,5.7746,0.0087,288.8,112.6333,4.9,23.1856,15.0667,6.1618,1.1193,0.6653,92.6333
7001,2.4958,4.0383,4.0002,4.0521,3.7179,2.9895,2.2588,1.8158,1.5754,1.4983,1.5848,1.7039,0.5396,20.4572,0.5531,15.1968,0.5775,10.758,0.7501,5.8617,1.2735,4.551,0.2196,218.3333,119.7,11.1667,6.6922,26.1,3.5907,1.6994,0.8079,142.5667
7002,1.9494,3.4057,3.0745,3.1298,2.7937,2.3342,1.7371,1.3408,1.1409,1.0904,1.2939,1.1896,0.1804,14.8125,0.1909,11.0473,0.2111,7.9034,0.3546,4.5746,0.851,3.5764,0.103,254.8,147.1333,9.2667,9.8022,19.0,4.5208,0.9647,0.4631,137.7333
7003,0.4484,0.9137,1.0141,1.1389,1.1483,1.3184,1.1085,0.9169,0.7353,0.5505,0.5116,0.3895,0.0695,6.3749,0.0767,5.2368,0.0897,3.6605,0.152,2.076,0.3506,1.505,0.1039,201.1333,148.9,9.3333,15.1554,10.8333,5.7268,0.23,0.1297,98.3333
7005,1.1168,2.2191,1.6682,1.8179,1.5768,1.5396,1.093,0.9099,0.8112,0.7646,0.9279,0.6483,0.2284,11.4551,0.2306,8.5303,0.2375,6.0159,0.2956,3.0656,0.5432,2.183,0.1902,235.4,155.6,7.4333,16.0437,17.3667,4.6124,0.729,0.2655,118.6333
7006,0.8845,1.4482,1.2695,1.4238,1.3707,1.6403,1.44,1.404,1.238,1.1238,1.058,0.7823,0.1478,9.0837,0.1625,7.2797,0.1949,4.9349,0.3676,2.6639,0.7434,1.9126,0.1585,182.1,165.4333,17.4333,6.1199,17.1333,3.7799,0.4743,0.2937,107.5667
8004,1.6784,2.8701,2.7513,2.8874,2.7126,2.4495,2.0538,1.7535,1.6018,1.446,1.4543,1.2513,0.3448,11.525,0.3711,8.8232,0.4188,6.4086,0.6605,3.9358,1.1657,3.1762,0.2017,240.0,149.1,10.5,9.9271,21.2,3.7647,0.7589,0.3375,141.9333
