parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.287,0.499,0.031,0.008,0.003
month_06_Mar,-0.279,0.47,0.039,0.013,0.0
month_07_Apr,-0.267,0.469,0.04,0.027,0.0
min_90day,-0.265,0.465,0.039,0.01,0.0
min_30day,-0.256,0.454,0.039,0.029,0.013
min_7day,-0.215,0.432,0.045,0.06,0.029
min_1day,-0.197,0.425,0.048,0.076,0.05
min_3day,-0.214,0.419,0.048,0.06,0.037
month_01_Oct,-0.232,0.412,0.024,0.01,0.0
base_flow_index,-0.192,0.401,0.024,0.06,0.029
month_03_Dec,-0.233,0.401,0.024,0.014,0.0
month_10_Jul,-0.224,0.385,0.026,0.018,0.0
month_11_Aug,-0.223,0.385,0.024,0.011,0.003
month_02_Nov,-0.174,0.369,0.023,0.06,0.0
low_pulse_duration_mean,-0.206,0.353,0.024,0.026,0.0
mean_rise_rate,-0.196,0.353,0.021,0.023,0.0
mean_fall_rate,-0.18,0.279,0.018,0.014,0.0
max_3day,-0.117,0.274,0.023,0.058,0.002
max_1day,-0.106,0.267,0.013,0.081,0.002
max_7day,-0.077,0.229,0.014,0.093,0.0
high_pulse_duration_mean,-0.099,0.227,0.003,0.072,0.013
month_05_Feb,0.024,0.225,0.018,0.267,0.006
month_09_Jun,-0.082,0.225,0.018,0.1,0.0
month_08_May,-0.096,0.214,0.019,0.052,0.0
max_30day,-0.092,0.206,0.006,0.055,0.0
max_90day,-0.038,0.184,0.011,0.098,0.0
doy_min,-0.029,0.176,0.005,0.134,0.056
doy_max,0.035,0.153,0.005,0.206,0.01
number_of_reversals,-0.002,0.153,0.005,0.15,0.006
high_pulse_count,0.047,0.111,0.0,0.167,0.018
month_04_Jan,0.373,0.06,0.005,0.614,0.188
low_pulse_count,0.217,0.04,0.0,0.369,0.047
