catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,2.6305,3.1202,2.4794,2.092,2.7466,1.3809,0.9886,0.5706,0.4521,0.3656,0.5728,1.2742,0.0889,11.9896,0.0927,9.9593,0.1037,7.8327,0.1401,4.5746,0.2714,3.1744,0.0667,285.2667,74.1,4.9,22.2931,16.8333,5.7791,0.8352,0.3242,119.4
2001,3.1705,3.6739,3.0634,2.8191,3.178,1.9609,1.6154,1.1438,0.8984,0.7473,0.8721,1.6104,0.3571,16.0394,0.3621,12.749,0.38,9.2137,0.4679,5.2644,0.6625,3.7696,0.1821,274.4667,99.1333,6.0333,17.072,20.3,4.6071,1.1066,0.4461,126.0667
2002,3.83,4.2844,3.5928,3.1962,3.6444,2.1613,1.6964,1.1253,0.8905,0.8146,1.117,2.2507,0.1299,20.9044,0.1368,16.7673,0.1533,11.5592,0.3146,6.3024,0.6401,4.4387,0.0634,259.8,73.8667,9.6333,8.9102,22.0667,4.142,1.0918,0.7701,110.1667
3003,6.6011,6.2764,5.9786,5.9478,6.2579,3.7992,3.1834,1.8118,1.3774,2.0403,2.7157,5.0668,0.0549,37.7521,0.0691,26.5302,0.1104,17.7218,0.5054,9.6511,1.4166,7.2485,0.0248,234.4,86.7,12.3,7.2148,32.8667,2.8964,2.9491,1.8637,152.9
4001,5.5238,6.1401,6.3662,6.3781,6.6049,4.563,3.9072,2.8148,2.1556,1.9362,2.3102,3.5777,1.1529,18.4356,1.1804,16.5351,1.2552,13.502,1.5374,9.0233,1.9691,7.2467,0.291,262.1,106.7667,5.4,21.0098,11.4333,9.0585,0.6452,0.3561,94.3667
4003,4.0312,4.4969,4.5894,4.3085,4.3908,2.6651,2.2931,1.693,1.3066,1.0338,1.0254,1.9766,0.6027,20.6572,0.6061,16.5383,0.6154,12.082,0.6979,7.0061,0.937,5.2446,0.2205,272.3,83.9,6.3,16.4558,16.4667,5.9487,1.4535,0.5087,109.6
4005,6.8881,7.0254,7.37,7.2109,7.7363,4.2609,3.8193,2.1955,1.5475,1.7941,2.197,4.7064,0.9767,36.3831,0.9779,28.5843,0.9825,20.0673,1.0362,11.6173,1.5533,8.6537,0.212,247.0,102.7,10.8,8.2894,23.4667,3.9069,3.0124,1.3618,124.0667
4006,7.3931,7.3766,7.3951,7.5678,8.1908,4.527,4.0271,2.2591,1.6499,2.2692,2.8624,5.4088,0.6397,34.5467,0.6444,28.1177,0.6579,20.5718,0.8903,12.1545,1.7554,8.9866,0.1321,239.2333,99.5333,11.5333,8.1181,20.7667,4.3687,2.4991,1.3098,130.7667
5003,6.2878,7.1787,7.5786,7.8174,8.7842,6.0138,5.4749,4.2763,3.4453,3.0606,3.0914,4.3521,2.3,20.1617,2.3286,17.8994,2.3917,15.4234,2.653,11.3524,3.0648,8.9127,0.4356,275.8,90.8333,8.7333,15.1173,10.8333,9.1724,0.9193,0.4115,123.9667
6007,4.9208,5.709,5.9941,6.0348,6.8488,4.5472,4.1535,3.1527,2.5792,2.3108,2.57,3.4695,1.2944,16.6624,1.3273,15.5853,1.4059,13.2483,1.8355,9.201,2.296,7.0744,0.3276,253.9667,107.9,7.0333,16.6202,12.2,7.9749,0.6517,0.3659,85.9333
