parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_30day,-0.772,0.965,0.712,0.016,0.014
month_11_Aug,-0.715,0.955,0.643,0.006,0.005
min_90day,-0.754,0.953,0.715,0.0,0.0
month_10_Jul,-0.668,0.911,0.567,0.002,0.0
min_3day,-0.66,0.894,0.615,0.05,0.045
low_pulse_duration_mean,-0.645,0.894,0.493,0.0,0.0
min_7day,-0.667,0.89,0.62,0.047,0.042
min_1day,-0.655,0.887,0.609,0.05,0.047
month_01_Oct,-0.593,0.865,0.404,0.002,0.0
base_flow_index,-0.622,0.841,0.586,0.052,0.042
month_03_Dec,-0.425,0.741,0.072,0.0,0.0
month_09_Jun,-0.443,0.739,0.153,0.003,0.0
month_12_Sep,-0.554,0.736,0.517,0.024,0.013
mean_rise_rate,-0.352,0.596,0.071,0.002,0.0
month_02_Nov,-0.352,0.586,0.121,0.026,0.0
number_of_reversals,-0.298,0.541,0.147,0.068,0.002
mean_fall_rate,-0.297,0.52,0.058,0.026,0.0
month_08_May,-0.309,0.517,0.053,0.002,0.0
high_pulse_duration_mean,-0.278,0.486,0.023,0.016,0.01
max_1day,-0.242,0.43,0.034,0.018,0.0
max_3day,-0.234,0.419,0.04,0.021,0.0
month_04_Jan,-0.223,0.401,0.031,0.023,0.0
max_90day,-0.251,0.395,0.026,0.002,0.0
month_06_Mar,-0.24,0.393,0.014,0.003,0.0
max_7day,-0.202,0.346,0.026,0.023,0.0
max_30day,-0.204,0.338,0.019,0.029,0.0
month_05_Feb,-0.206,0.322,0.019,0.005,0.0
high_pulse_count,-0.112,0.291,0.026,0.11,0.013
month_07_Apr,-0.192,0.288,0.01,0.014,0.0
doy_min,0.042,0.18,0.06,0.224,0.093
doy_max,0.101,0.114,0.002,0.283,0.021
low_pulse_count,0.326,0.035,0.002,0.488,0.196
