catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.7133,2.7195,2.7311,2.5143,2.3493,1.6341,0.8757,0.4765,0.3071,0.2821,0.2388,0.6948,0.0866,5.6648,0.089,4.9731,0.0933,4.3043,0.1284,3.3256,0.2439,2.7966,0.0677,302.1333,64.1,7.6667,18.9133,15.0,6.1384,0.3637,0.2013,146.0333
2001,2.0109,3.1216,3.2498,3.2135,2.9971,2.2441,1.5217,1.0123,0.6787,0.5109,0.4345,0.8679,0.2886,7.0409,0.2927,5.9779,0.3017,5.0985,0.3526,3.9118,0.4892,3.3455,0.1656,297.8333,73.8,7.8667,20.4811,19.5667,4.1405,0.5026,0.2804,151.1667
2002,2.7076,3.8967,3.9042,3.7784,3.4336,2.5423,1.543,0.9274,0.5242,0.4861,0.4407,1.2421,0.1228,8.9074,0.1298,7.7505,0.1461,6.3948,0.2405,4.7523,0.4425,4.0395,0.0689,294.0667,68.4,9.2667,15.6848,19.2667,4.4159,0.5283,0.449,130.8333
3003,5.4488,6.2953,6.7047,6.8578,6.1121,4.7702,2.9512,1.9378,1.0509,1.3183,1.408,3.8139,0.2005,17.1223,0.2239,13.3955,0.2829,10.9029,0.6663,8.1626,1.1658,7.0035,0.0694,270.3,78.7,16.5,6.739,29.9667,3.1524,1.4258,1.1922,179.3333
4001,4.5003,5.9958,7.0344,7.4189,6.721,5.3989,3.9606,2.9282,1.944,1.5244,1.4767,2.6029,1.1448,11.4652,1.1566,10.761,1.1837,9.7867,1.3228,8.2423,1.5877,7.2333,0.2766,306.8333,90.7667,2.8,48.765,8.7,12.2867,0.3157,0.2223,107.6
4003,2.3898,3.906,4.6641,4.6249,4.1677,3.2062,2.1452,1.5227,1.0555,0.7991,0.6165,0.9269,0.4307,10.1627,0.4383,8.6909,0.461,7.4393,0.5311,5.5506,0.7072,4.6571,0.1847,276.9333,79.5333,7.3333,19.5019,15.6333,5.9531,0.6439,0.3078,129.2667
4005,5.9868,7.6012,8.6027,8.766,7.5259,5.6145,3.5685,2.3911,1.3468,1.2805,1.3759,3.6727,0.9245,19.4598,0.9285,16.155,0.9422,13.5253,1.0386,10.2975,1.309,8.769,0.1968,315.5333,94.9,8.8333,13.3558,24.2333,4.2725,1.4263,0.9866,161.0
4006,6.6746,8.0469,8.8697,9.1563,7.9781,6.0389,3.8989,2.652,1.4707,1.5189,1.6547,4.5059,0.6714,18.7717,0.6932,16.0265,0.741,13.7687,1.0488,10.7069,1.4959,9.1843,0.1431,297.1,82.5333,8.9667,12.2923,21.5333,4.9329,1.221,0.9336,164.2667
5003,5.1942,7.1689,8.9854,9.7855,8.9563,7.4587,5.7201,4.6203,3.4132,2.7417,2.4156,3.358,2.1493,14.4672,2.1723,13.4481,2.2206,12.5048,2.373,10.872,2.6931,9.4601,0.3839,314.4667,99.7333,3.3667,40.581,6.5,20.5238,0.4254,0.2811,154.0
6007,4.072,5.7282,7.0536,7.7029,7.0214,5.6965,4.2956,3.3102,2.3192,1.9054,1.7942,2.5981,1.389,11.1612,1.4045,10.7959,1.4452,10.0212,1.6376,8.5524,1.91,7.4604,0.3252,305.8,103.7,3.3667,42.0678,7.4,16.1115,0.3112,0.2397,101.3333
6008,3.064,4.902,5.4019,5.4187,4.6687,3.0825,1.7296,0.8383,0.3142,0.2072,0.2201,1.0379,0.0286,12.1861,0.0302,10.6321,0.0342,8.7667,0.0713,6.5101,0.2111,5.5069,0.0131,305.5333,89.3333,5.1,35.4806,15.3333,6.6328,0.6128,0.4517,112.8667
7001,2.7373,3.8377,4.1394,4.1414,3.7545,3.2241,2.047,1.5688,1.3036,1.3215,1.1868,1.6102,0.6309,10.857,0.6519,8.6494,0.6893,7.0305,0.8626,5.0094,1.177,4.256,0.2679,279.0,89.3333,18.3667,6.5494,26.5,3.2485,0.8491,0.6198,177.8333
7002,2.2547,3.2208,3.2421,3.1476,2.9052,2.4517,1.502,1.0775,0.8792,0.969,0.8733,1.2083,0.303,8.6438,0.3175,6.9576,0.3436,5.5567,0.4783,3.9607,0.8129,3.3559,0.1734,297.3333,100.3,13.1667,10.1385,19.2,4.8155,0.5093,0.344,162.4667
7003,0.5292,0.8808,0.9939,1.0492,1.2229,1.2598,0.9634,0.7148,0.5694,0.4645,0.3242,0.3104,0.1157,3.326,0.123,2.8397,0.1382,2.1963,0.1944,1.5197,0.3436,1.2541,0.1792,245.4667,121.9333,11.4667,18.7226,11.2333,3.8801,0.1421,0.0971,118.0667
7005,1.4085,2.0147,1.8332,1.704,1.7025,1.512,0.9438,0.7442,0.6647,0.7087,0.5949,0.7218,0.2525,6.6823,0.2583,5.0541,0.2675,3.8196,0.3398,2.4714,0.5672,1.997,0.2215,283.9667,109.4,14.5333,9.161,18.8333,4.0044,0.402,0.2211,143.9667
7006,1.0244,1.3514,1.3396,1.3613,1.5106,1.6153,1.2889,1.1544,1.0643,0.9753,0.7327,0.7329,0.2701,4.6819,0.2918,3.927,0.3369,2.9419,0.5082,1.9598,0.7651,1.5997,0.2861,207.7667,162.7,23.6333,6.6867,17.0667,2.8583,0.2733,0.2123,127.0
8004,1.8467,2.7621,2.8569,2.8571,2.796,2.593,1.9936,1.485,1.3456,1.3304,1.1487,1.1641,0.5944,6.5803,0.6192,5.4409,0.6577,4.5062,0.8477,3.4006,1.1434,3.0045,0.3261,284.5,94.6667,15.0333,9.9196,19.6,4.1046,0.4026,0.2533,165.9667
8005,1.5022,2.4051,3.2953,3.9312,3.8932,3.4606,2.7944,2.182,1.6762,1.3446,1.0813,1.039,0.8096,5.6741,0.8171,5.4336,0.8373,4.9952,0.9441,4.3019,1.1529,3.868,0.3516,271.2,122.6,5.1667,32.4866,8.5667,10.6502,0.1682,0.1142,116.9
8006,1.2559,1.9505,2.4078,2.6999,2.7131,2.4361,1.9374,1.5175,1.2469,1.0846,0.8337,0.8182,0.4962,4.3344,0.5089,4.0342,0.5388,3.5801,0.6755,3.0104,0.9019,2.7091,0.3086,286.5667,125.8333,8.3333,20.4403,12.7667,5.7842,0.1652,0.119,122.2667
8009,1.3362,2.3598,2.9773,3.1261,2.9298,2.4199,1.5875,1.0564,0.7479,0.6704,0.5586,0.6609,0.2578,6.9702,0.271,5.9458,0.2946,4.8223,0.4036,3.5518,0.5801,3.0983,0.1726,280.6333,109.5333,9.7333,16.9579,18.7667,5.0567,0.4077,0.2686,168.0333
8011,1.1965,1.8155,1.934,1.9717,2.044,2.0445,1.6777,1.2837,1.1379,1.0631,0.8794,0.8023,0.4555,5.0664,0.4755,4.0516,0.5097,3.2828,0.6394,2.455,0.8914,2.1346,0.3438,256.7333,116.9,14.3667,11.734,19.8667,2.8537,0.3036,0.1704,162.9
