parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_11_Aug,-0.33,0.607,0.05,0.019,0.005
min_30day,-0.292,0.562,0.081,0.061,0.019
base_flow_index,-0.276,0.56,0.087,0.064,0.04
month_12_Sep,-0.266,0.538,0.061,0.074,0.003
min_7day,-0.198,0.485,0.043,0.097,0.042
min_3day,-0.181,0.477,0.053,0.114,0.056
min_1day,-0.163,0.467,0.053,0.132,0.064
low_pulse_duration_mean,-0.197,0.37,0.024,0.048,0.005
min_90day,-0.189,0.357,0.008,0.04,0.0
doy_min,-0.143,0.354,0.06,0.118,0.05
month_01_Oct,-0.127,0.221,0.011,0.034,0.0
month_05_Feb,-0.05,0.209,0.014,0.119,0.0
month_02_Nov,-0.117,0.205,0.003,0.024,0.0
max_3day,-0.063,0.177,0.006,0.082,0.002
month_03_Dec,-0.002,0.171,0.005,0.159,0.002
max_90day,-0.051,0.171,0.011,0.079,0.0
max_1day,-0.048,0.158,0.003,0.108,0.0
month_04_Jan,-0.046,0.155,0.003,0.052,0.0
max_30day,-0.054,0.145,0.003,0.084,0.002
month_06_Mar,-0.086,0.135,0.006,0.031,0.0
max_7day,-0.035,0.134,0.006,0.098,0.0
month_08_May,0.064,0.132,0.005,0.224,0.005
month_10_Jul,-0.052,0.127,0.003,0.039,0.003
doy_max,0.003,0.124,0.002,0.134,0.006
high_pulse_duration_mean,0.004,0.119,0.005,0.135,0.023
mean_fall_rate,0.091,0.098,0.002,0.25,0.0
number_of_reversals,0.072,0.09,0.0,0.211,0.008
month_09_Jun,0.038,0.077,0.003,0.153,0.002
mean_rise_rate,0.06,0.069,0.0,0.142,0.006
month_07_Apr,0.08,0.061,0.003,0.161,0.0
low_pulse_count,0.265,0.043,0.0,0.438,0.132
high_pulse_count,0.192,0.042,0.002,0.316,0.04
