parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_30day,-0.586,0.895,0.406,0.021,0.014
min_90day,-0.51,0.812,0.242,0.003,0.0
min_3day,-0.48,0.794,0.34,0.063,0.045
min_7day,-0.501,0.787,0.39,0.055,0.042
min_1day,-0.47,0.779,0.314,0.061,0.047
base_flow_index,-0.428,0.738,0.251,0.052,0.04
low_pulse_duration_mean,-0.4,0.688,0.089,0.005,0.0
month_11_Aug,-0.402,0.665,0.137,0.011,0.005
month_02_Nov,-0.364,0.652,0.058,0.016,0.0
month_10_Jul,-0.383,0.639,0.106,0.013,0.0
month_12_Sep,-0.382,0.633,0.214,0.043,0.013
month_01_Oct,-0.368,0.63,0.092,0.008,0.0
month_03_Dec,-0.348,0.61,0.032,0.008,0.0
month_08_May,-0.367,0.602,0.064,0.002,0.0
max_90day,-0.3,0.514,0.026,0.003,0.0
month_04_Jan,-0.278,0.496,0.04,0.026,0.0
month_09_Jun,-0.258,0.481,0.018,0.024,0.0
mean_rise_rate,-0.262,0.464,0.035,0.034,0.0
mean_fall_rate,-0.234,0.424,0.029,0.04,0.0
high_pulse_duration_mean,-0.242,0.419,0.016,0.018,0.006
max_3day,-0.193,0.383,0.026,0.045,0.0
max_1day,-0.207,0.38,0.018,0.029,0.0
max_30day,-0.223,0.369,0.013,0.013,0.0
month_06_Mar,-0.179,0.364,0.04,0.056,0.002
number_of_reversals,-0.155,0.348,0.018,0.068,0.0
max_7day,-0.185,0.311,0.018,0.035,0.0
month_07_Apr,-0.159,0.298,0.021,0.055,0.0
month_05_Feb,-0.08,0.227,0.023,0.089,0.003
doy_min,-0.013,0.201,0.003,0.174,0.069
high_pulse_count,-0.012,0.155,0.006,0.147,0.016
doy_max,0.14,0.048,0.0,0.29,0.003
low_pulse_count,0.307,0.016,0.0,0.494,0.153
