parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_30day,-0.539,0.828,0.345,0.023,0.013
min_90day,-0.513,0.802,0.224,0.0,0.0
month_11_Aug,-0.459,0.768,0.151,0.008,0.006
min_3day,-0.451,0.725,0.346,0.063,0.043
min_1day,-0.439,0.71,0.311,0.06,0.043
min_7day,-0.459,0.709,0.372,0.053,0.04
base_flow_index,-0.416,0.688,0.308,0.061,0.04
low_pulse_duration_mean,-0.361,0.615,0.1,0.013,0.0
month_10_Jul,-0.372,0.612,0.142,0.01,0.0
month_08_May,-0.332,0.573,0.024,0.0,0.0
month_12_Sep,-0.343,0.572,0.169,0.042,0.013
month_01_Oct,-0.324,0.548,0.052,0.005,0.0
month_03_Dec,-0.254,0.473,0.019,0.023,0.0
month_02_Nov,-0.267,0.47,0.01,0.003,0.0
mean_rise_rate,-0.266,0.457,0.013,0.013,0.0
max_30day,-0.241,0.417,0.016,0.016,0.0
max_90day,-0.238,0.407,0.032,0.023,0.0
month_04_Jan,-0.211,0.372,0.01,0.006,0.0
high_pulse_duration_mean,-0.199,0.369,0.016,0.039,0.01
max_7day,-0.19,0.354,0.018,0.042,0.003
max_3day,-0.185,0.343,0.016,0.05,0.0
max_1day,-0.193,0.34,0.013,0.039,0.0
month_09_Jun,-0.212,0.337,0.021,0.01,0.0
mean_fall_rate,-0.174,0.333,0.003,0.043,0.0
month_06_Mar,-0.177,0.314,0.011,0.032,0.0
number_of_reversals,-0.159,0.314,0.024,0.064,0.0
month_05_Feb,-0.182,0.312,0.01,0.013,0.0
month_07_Apr,-0.074,0.201,0.011,0.06,0.0
doy_max,0.077,0.111,0.003,0.254,0.01
doy_min,0.057,0.11,0.016,0.221,0.069
high_pulse_count,0.053,0.105,0.0,0.169,0.01
low_pulse_count,0.342,0.018,0.0,0.544,0.147
