parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.422,0.744,0.077,0.005,0.003
min_3day,-0.347,0.673,0.174,0.082,0.037
min_1day,-0.339,0.671,0.172,0.085,0.047
min_7day,-0.338,0.652,0.159,0.081,0.034
month_01_Oct,-0.332,0.591,0.113,0.034,0.0
min_30day,-0.293,0.581,0.093,0.082,0.018
month_06_Mar,-0.329,0.573,0.097,0.008,0.0
month_03_Dec,-0.311,0.567,0.04,0.003,0.0
base_flow_index,-0.257,0.546,0.1,0.095,0.035
doy_min,-0.282,0.536,0.076,0.061,0.031
month_11_Aug,-0.296,0.515,0.035,0.003,0.002
min_90day,-0.282,0.51,0.037,0.023,0.0
number_of_reversals,-0.253,0.47,0.045,0.034,0.0
mean_fall_rate,-0.294,0.469,0.027,0.003,0.0
mean_rise_rate,-0.268,0.451,0.021,0.003,0.0
low_pulse_duration_mean,-0.223,0.427,0.039,0.056,0.0
month_09_Jun,-0.202,0.415,0.071,0.077,0.002
month_02_Nov,-0.243,0.406,0.027,0.01,0.0
max_30day,-0.196,0.357,0.032,0.039,0.0
max_7day,-0.191,0.354,0.039,0.024,0.0
month_10_Jul,-0.148,0.354,0.031,0.101,0.0
max_90day,-0.21,0.34,0.023,0.014,0.0
max_1day,-0.176,0.335,0.043,0.035,0.0
max_3day,-0.165,0.327,0.031,0.034,0.0
high_pulse_duration_mean,-0.156,0.298,0.013,0.047,0.016
month_07_Apr,-0.085,0.237,0.011,0.089,0.003
month_05_Feb,-0.095,0.217,0.014,0.071,0.003
month_08_May,-0.125,0.213,0.019,0.048,0.0
high_pulse_count,-0.034,0.196,0.005,0.126,0.021
month_04_Jan,-0.014,0.151,0.019,0.132,0.0
doy_max,0.067,0.119,0.002,0.203,0.023
low_pulse_count,0.306,0.018,0.002,0.506,0.103
