catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.4356,2.154,2.1758,2.04,1.9499,1.7233,0.8238,0.4732,0.3048,0.2786,0.3566,0.566,0.0554,9.9527,0.0566,8.166,0.0591,6.174,0.0888,3.3799,0.2034,2.4128,0.0503,270.0667,90.3667,4.7667,36.1145,15.7,4.7181,0.685,0.2508,109.6667
2001,1.7322,2.5918,2.5938,2.6337,2.4532,2.3684,1.447,0.9501,0.6237,0.5337,0.5821,0.7583,0.2402,14.1453,0.2451,10.9126,0.2557,7.562,0.332,4.0073,0.5023,2.9579,0.1622,249.3333,91.0,5.8,30.8258,17.2,4.1136,0.8981,0.3317,114.2667
2002,2.4078,3.1923,3.0401,3.0797,2.6876,2.7317,1.5499,0.7881,0.5573,0.6305,0.7243,1.0167,0.1206,18.2021,0.1254,14.5744,0.134,9.6335,0.2054,4.9134,0.4617,3.5427,0.0717,264.9,78.1667,12.3333,10.2413,18.6667,4.0299,0.8742,0.5834,110.9333
3003,5.0637,5.8479,4.8771,5.3075,4.5175,4.1958,2.4717,1.3235,0.9253,1.1314,2.0027,3.244,0.0497,31.8385,0.0587,23.802,0.0869,16.1663,0.3309,8.7819,0.8874,6.1701,0.0245,247.7667,125.5,13.5333,7.3483,26.6333,2.8506,2.3098,1.4664,147.2333
4001,4.2016,5.6415,5.3182,5.7419,5.3409,4.5105,3.4736,2.4902,1.8017,1.5333,1.8191,2.633,1.0195,15.1887,1.0499,13.717,1.0937,11.4831,1.3063,7.8632,1.6162,6.1795,0.2992,260.9667,89.9667,4.3667,36.5793,10.2,6.7191,0.5233,0.285,92.2
4003,2.4313,3.3044,3.2904,3.6133,3.4844,3.1998,1.9847,1.3344,1.0695,0.8087,0.7304,0.884,0.3694,19.1002,0.3755,15.1935,0.3888,10.7924,0.4919,5.5899,0.6906,4.0051,0.1809,211.9,95.7667,7.7667,19.8879,15.1333,4.7822,1.3237,0.3851,93.3667
4005,5.5798,6.951,6.2316,6.7839,5.7446,4.6504,3.0473,1.8446,1.2627,1.1797,1.6951,3.3975,0.9159,35.6433,0.918,25.9614,0.9255,18.202,0.9788,10.5973,1.1878,7.5986,0.235,254.5333,106.0667,12.9,8.8469,19.4,4.1607,2.6626,1.145,117.6333
4006,6.0823,7.4915,6.6394,7.0285,6.0749,4.9068,3.236,1.9204,1.2988,1.4931,2.2445,4.0735,0.6249,31.9372,0.6279,24.7226,0.6457,18.1467,0.8286,11.169,1.3,8.0852,0.1504,264.4667,115.1,13.3667,7.0538,16.6333,4.5734,2.1898,1.1163,127.7
5003,4.953,6.8459,6.7911,7.4514,7.0836,6.0078,5.0098,3.9291,3.1645,2.6951,2.6938,3.4891,2.0618,16.6398,2.098,15.3401,2.1557,13.5988,2.3939,9.9982,2.6884,7.9367,0.4395,257.1333,100.4333,7.6333,20.7339,8.8667,8.3237,0.785,0.3445,126.2
6007,3.9,5.3562,5.4036,5.937,5.4093,4.579,3.8428,2.9877,2.3143,2.0781,2.2159,2.774,1.2323,15.106,1.2636,14.1132,1.3321,12.1925,1.6481,8.0983,2.037,6.3224,0.3474,276.5333,116.5667,7.0667,19.2443,10.2,7.5488,0.5413,0.3138,86.0
6008,3.0595,4.1615,3.9694,4.2328,3.5241,2.656,1.6765,0.8078,0.3921,0.3014,0.4348,1.0135,0.0257,22.6898,0.0264,18.4837,0.0285,12.5089,0.0609,6.763,0.2255,4.6921,0.0137,284.9,109.1,6.4,18.4658,13.7,5.9338,1.0305,0.5711,90.8667
7001,2.4928,3.2415,3.1545,3.3566,3.2478,3.0499,2.2033,1.6344,1.3626,1.5205,1.5802,1.7538,0.58,28.7831,0.5977,20.6881,0.6356,13.3065,0.8262,5.6754,1.1915,3.9138,0.2683,199.1333,124.6333,14.3,5.7012,24.5667,3.3778,1.6572,0.7409,142.0
7002,1.9695,2.5339,2.4569,2.6676,2.6616,2.3361,1.7303,1.1775,0.9471,1.137,1.2178,1.2694,0.2446,21.2628,0.2596,15.2386,0.2836,9.9804,0.4318,4.4786,0.779,3.1303,0.1537,257.2333,129.8,10.9333,9.2163,19.8667,3.801,1.0037,0.4502,136.1
7003,0.4318,0.65,0.7359,0.9784,1.146,1.3336,1.1915,0.8244,0.6501,0.5329,0.4556,0.3741,0.0676,7.1329,0.0741,5.8132,0.0871,3.7998,0.1643,1.9464,0.3,1.3892,0.1073,200.9667,152.9667,9.9,15.2856,10.9667,5.2597,0.2397,0.1305,94.7
7005,1.0902,1.4278,1.4132,1.79,1.7159,1.5105,1.1077,0.7745,0.6594,0.7447,0.7722,0.7736,0.2239,15.8051,0.2266,11.5457,0.2364,7.4693,0.2825,3.2406,0.4877,2.0692,0.2089,189.6,122.0,8.5667,15.2912,16.6,4.5832,0.8228,0.2612,106.4
7006,0.8781,1.0334,1.011,1.3191,1.4011,1.6262,1.501,1.189,1.0912,1.0581,0.919,0.8096,0.144,10.2552,0.1576,8.2968,0.1896,5.5859,0.365,2.5793,0.6215,1.8244,0.1644,180.7667,167.5,17.5333,6.357,16.2333,3.9768,0.493,0.281,102.5667
8004,1.7655,2.2807,2.422,2.5119,2.6591,2.7405,2.1736,1.5927,1.4616,1.5802,1.4909,1.3584,0.4233,14.8133,0.455,11.4246,0.5069,7.8368,0.7837,4.0983,1.1869,3.0538,0.2516,265.9333,128.4333,11.4667,9.4595,21.3,3.6268,0.7917,0.347,134.8333
