parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.416,0.707,0.071,0.003,0.003
min_3day,-0.416,0.7,0.291,0.064,0.035
min_1day,-0.407,0.694,0.295,0.066,0.045
month_01_Oct,-0.402,0.692,0.108,0.023,0.0
min_30day,-0.383,0.691,0.171,0.063,0.014
min_7day,-0.395,0.683,0.251,0.071,0.034
mean_rise_rate,-0.37,0.649,0.058,0.0,0.0
month_11_Aug,-0.339,0.602,0.072,0.008,0.002
mean_fall_rate,-0.361,0.601,0.053,0.0,0.0
base_flow_index,-0.309,0.597,0.145,0.071,0.034
month_06_Mar,-0.359,0.596,0.134,0.021,0.0
min_90day,-0.333,0.594,0.074,0.018,0.0
max_90day,-0.316,0.549,0.034,0.002,0.0
month_03_Dec,-0.339,0.539,0.035,0.0,0.0
month_02_Nov,-0.304,0.525,0.035,0.003,0.0
max_30day,-0.302,0.523,0.045,0.002,0.0
doy_min,-0.25,0.491,0.037,0.055,0.024
month_09_Jun,-0.252,0.47,0.05,0.04,0.0
max_7day,-0.256,0.444,0.045,0.014,0.0
low_pulse_duration_mean,-0.232,0.443,0.037,0.042,0.0
number_of_reversals,-0.236,0.425,0.069,0.055,0.0
high_pulse_duration_mean,-0.229,0.409,0.021,0.027,0.016
max_3day,-0.219,0.386,0.039,0.037,0.002
month_08_May,-0.221,0.385,0.037,0.026,0.0
max_1day,-0.218,0.356,0.034,0.026,0.003
month_07_Apr,-0.182,0.345,0.029,0.045,0.0
month_10_Jul,-0.157,0.333,0.042,0.092,0.002
month_05_Feb,-0.131,0.287,0.021,0.072,0.008
high_pulse_count,-0.054,0.2,0.005,0.093,0.016
doy_max,-0.051,0.188,0.002,0.129,0.006
month_04_Jan,-0.054,0.187,0.016,0.09,0.0
low_pulse_count,0.284,0.031,0.0,0.483,0.09
