parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.63,0.931,0.415,0.0,0.0
min_90day,-0.66,0.926,0.522,0.0,0.0
min_7day,-0.635,0.899,0.477,0.006,0.005
min_3day,-0.637,0.894,0.498,0.014,0.006
min_1day,-0.626,0.889,0.507,0.024,0.011
min_30day,-0.608,0.86,0.432,0.002,0.0
base_flow_index,-0.539,0.82,0.324,0.011,0.005
month_09_Jun,-0.494,0.815,0.177,0.0,0.0
month_10_Jul,-0.522,0.804,0.261,0.005,0.0
month_11_Aug,-0.509,0.77,0.306,0.003,0.0
low_pulse_duration_mean,-0.485,0.749,0.25,0.002,0.0
month_01_Oct,-0.47,0.718,0.246,0.0,0.0
mean_fall_rate,-0.3,0.528,0.069,0.018,0.0
month_05_Feb,-0.289,0.523,0.047,0.035,0.005
mean_rise_rate,-0.275,0.472,0.035,0.018,0.0
month_02_Nov,-0.268,0.446,0.064,0.024,0.0
number_of_reversals,-0.243,0.435,0.055,0.043,0.0
month_07_Apr,-0.244,0.417,0.032,0.01,0.0
max_7day,-0.235,0.407,0.032,0.021,0.0
max_3day,-0.208,0.38,0.037,0.029,0.0
max_1day,-0.202,0.375,0.027,0.042,0.002
high_pulse_duration_mean,-0.191,0.338,0.013,0.024,0.006
month_03_Dec,-0.199,0.324,0.031,0.024,0.0
month_08_May,-0.16,0.32,0.037,0.045,0.0
month_06_Mar,-0.154,0.314,0.026,0.052,0.0
max_90day,-0.171,0.288,0.047,0.034,0.0
doy_min,-0.064,0.283,0.026,0.147,0.045
max_30day,-0.136,0.254,0.023,0.043,0.0
high_pulse_count,-0.01,0.148,0.008,0.118,0.011
month_04_Jan,-0.015,0.134,0.023,0.14,0.002
doy_max,0.049,0.093,0.0,0.171,0.011
low_pulse_count,0.184,0.081,0.002,0.345,0.118
