parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_12_Sep,-0.662,0.958,0.486,0.003,0.003
min_30day,-0.588,0.828,0.557,0.05,0.014
min_3day,-0.591,0.805,0.615,0.072,0.039
min_90day,-0.521,0.804,0.242,0.003,0.0
min_7day,-0.58,0.802,0.597,0.069,0.035
min_1day,-0.579,0.792,0.601,0.081,0.047
base_flow_index,-0.539,0.771,0.527,0.077,0.035
month_03_Dec,-0.447,0.763,0.089,0.0,0.0
month_11_Aug,-0.504,0.739,0.308,0.002,0.002
month_01_Oct,-0.484,0.675,0.396,0.031,0.0
month_09_Jun,-0.401,0.667,0.116,0.005,0.0
low_pulse_duration_mean,-0.43,0.665,0.208,0.011,0.0
mean_rise_rate,-0.381,0.643,0.089,0.0,0.0
month_10_Jul,-0.37,0.617,0.121,0.016,0.0
doy_min,-0.318,0.591,0.148,0.068,0.035
mean_fall_rate,-0.347,0.575,0.052,0.0,0.0
month_02_Nov,-0.325,0.544,0.063,0.006,0.0
number_of_reversals,-0.324,0.536,0.172,0.034,0.0
max_90day,-0.315,0.519,0.085,0.006,0.0
month_06_Mar,-0.314,0.501,0.116,0.006,0.0
max_30day,-0.279,0.483,0.071,0.024,0.0
high_pulse_duration_mean,-0.268,0.48,0.031,0.024,0.016
month_08_May,-0.228,0.403,0.043,0.019,0.0
max_7day,-0.223,0.386,0.048,0.018,0.0
month_04_Jan,-0.183,0.362,0.037,0.053,0.002
max_3day,-0.188,0.338,0.032,0.052,0.0
max_1day,-0.18,0.329,0.026,0.042,0.0
month_07_Apr,-0.153,0.295,0.031,0.061,0.0
month_05_Feb,-0.063,0.219,0.023,0.101,0.005
high_pulse_count,-0.049,0.208,0.011,0.121,0.016
doy_max,0.05,0.098,0.0,0.19,0.01
low_pulse_count,0.274,0.053,0.0,0.47,0.138
