parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
min_90day,-0.392,0.691,0.061,0.003,0.0
min_30day,-0.325,0.581,0.06,0.019,0.014
min_7day,-0.281,0.573,0.064,0.066,0.031
min_3day,-0.275,0.57,0.063,0.064,0.042
min_1day,-0.259,0.557,0.066,0.066,0.05
month_10_Jul,-0.281,0.478,0.029,0.01,0.0
month_11_Aug,-0.269,0.47,0.031,0.014,0.002
month_06_Mar,-0.273,0.47,0.04,0.014,0.0
base_flow_index,-0.225,0.465,0.026,0.056,0.029
month_09_Jun,-0.263,0.452,0.035,0.011,0.0
low_pulse_duration_mean,-0.264,0.452,0.034,0.011,0.002
month_12_Sep,-0.267,0.433,0.039,0.011,0.003
month_03_Dec,-0.249,0.404,0.021,0.011,0.0
month_01_Oct,-0.231,0.395,0.031,0.005,0.0
month_07_Apr,-0.253,0.383,0.066,0.008,0.0
mean_rise_rate,-0.215,0.346,0.027,0.013,0.0
month_05_Feb,-0.128,0.33,0.045,0.11,0.0
month_08_May,-0.188,0.306,0.027,0.014,0.0
mean_fall_rate,-0.179,0.274,0.029,0.018,0.0
month_02_Nov,-0.138,0.248,0.019,0.04,0.0
max_30day,-0.13,0.243,0.011,0.027,0.0
max_7day,-0.116,0.24,0.018,0.055,0.0
number_of_reversals,-0.109,0.24,0.01,0.084,0.002
max_3day,-0.132,0.235,0.019,0.031,0.0
high_pulse_duration_mean,-0.105,0.233,0.005,0.053,0.016
max_1day,-0.113,0.225,0.018,0.052,0.0
max_90day,-0.102,0.205,0.01,0.034,0.0
high_pulse_count,0.011,0.148,0.0,0.161,0.016
doy_max,-0.003,0.132,0.005,0.138,0.01
month_04_Jan,0.159,0.095,0.008,0.357,0.013
doy_min,0.083,0.09,0.002,0.195,0.043
low_pulse_count,0.213,0.048,0.002,0.401,0.047
