catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,2.213,2.8172,2.5476,2.4531,2.3042,1.5123,1.0971,0.5625,0.3526,0.3326,0.6109,1.2577,0.0884,12.7857,0.0897,10.3946,0.0934,7.8544,0.1217,4.2555,0.2535,2.9938,0.0618,288.2414,115.7586,3.931,30.7161,16.6897,5.5801,0.8336,0.316,116.3103
2001,2.6705,3.3188,3.0707,2.9385,3.0352,2.2626,1.9068,1.1917,0.8159,0.6963,0.9141,1.6541,0.3643,15.6558,0.3687,12.5738,0.38,9.0425,0.46,4.8353,0.6681,3.5816,0.1863,279.1034,120.0345,5.3793,21.2522,19.8621,4.6283,1.0928,0.4356,123.2069
2002,3.1683,3.9154,3.5653,3.2419,3.3805,2.6015,2.259,1.2347,0.819,0.8055,1.0899,2.2622,0.1217,19.8077,0.1255,16.3276,0.135,11.4628,0.2902,5.9503,0.6501,4.195,0.0575,237.5172,123.069,10.6552,9.2931,20.4138,4.4565,1.0697,0.7238,108.3793
3003,5.183,6.009,6.1999,6.0608,5.5665,3.8317,3.7208,2.1594,1.202,1.6928,2.4951,4.9533,0.0333,35.3663,0.0422,25.6512,0.0661,17.895,0.4914,9.4122,1.2792,6.8864,0.016,210.6552,126.9655,13.5517,7.1893,30.4138,2.9804,2.8796,1.7574,151.3103
4001,4.8249,5.7343,6.5695,6.6846,6.1773,4.6715,4.1019,3.1187,2.2114,1.8551,2.132,3.7439,1.1645,18.128,1.1869,16.3169,1.2354,13.2623,1.4757,8.8024,1.9267,7.0624,0.289,273.2069,124.8966,4.8966,26.4668,12.0345,7.9006,0.6702,0.3534,91.4828
4003,3.151,3.9369,4.1671,3.9309,4.048,3.5181,2.8129,1.6717,1.2956,0.9932,1.0702,1.9838,0.5701,20.9746,0.5789,17.3419,0.6013,13.0691,0.6786,6.5848,0.9573,4.7535,0.2234,247.6552,121.0345,6.6207,16.7534,16.6207,5.5748,1.4414,0.4808,101.7241
4005,5.6643,6.7288,7.8652,7.7876,6.4678,4.7025,4.3912,2.5798,1.5742,1.5626,2.1788,5.0209,0.9378,39.1538,0.9426,29.5946,0.951,21.1305,1.0605,11.608,1.5014,8.5144,0.2049,214.5172,108.2414,12.8276,7.2127,21.7931,4.1906,3.1471,1.369,121.4828
4006,6.159,7.2267,8.245,8.1345,6.8109,4.5585,4.4994,2.8035,1.6307,1.8668,2.6742,5.6538,0.6397,34.3681,0.6447,28.265,0.6574,20.8959,0.9286,12.0495,1.6435,8.9306,0.1329,246.3448,101.6207,12.3448,8.0461,20.1034,4.589,2.5625,1.2984,131.0
5003,5.3659,6.5449,8.2134,8.6193,7.9237,6.0785,5.7844,4.5627,3.4928,3.0226,3.0202,4.4599,2.2347,20.1109,2.2673,18.0256,2.326,15.9952,2.6058,11.4979,3.0401,8.8992,0.4208,253.0345,113.7586,7.5517,13.2648,11.3103,8.4419,0.9569,0.4182,121.7586
6007,4.2697,5.3327,6.5574,6.8016,6.0594,4.7202,4.3602,3.4806,2.516,2.3018,2.4368,3.4948,1.1634,16.7427,1.1954,15.773,1.2751,13.5939,1.693,9.1585,2.2352,7.1454,0.2957,247.2414,107.6897,7.1724,14.9048,11.2414,8.339,0.6778,0.374,84.3448
