parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_11_Aug,-0.553,0.887,0.269,0.01,0.005
min_30day,-0.643,0.866,0.541,0.023,0.014
min_90day,-0.582,0.863,0.375,0.002,0.0
month_01_Oct,-0.509,0.768,0.293,0.002,0.0
min_3day,-0.527,0.763,0.448,0.058,0.045
min_1day,-0.515,0.747,0.427,0.06,0.047
min_7day,-0.533,0.739,0.473,0.06,0.042
low_pulse_duration_mean,-0.44,0.717,0.171,0.011,0.0
base_flow_index,-0.456,0.707,0.372,0.052,0.042
month_02_Nov,-0.35,0.651,0.058,0.008,0.0
month_12_Sep,-0.456,0.647,0.348,0.023,0.013
month_10_Jul,-0.424,0.641,0.203,0.005,0.0
month_08_May,-0.358,0.576,0.066,0.002,0.0
month_03_Dec,-0.329,0.57,0.04,0.002,0.0
month_04_Jan,-0.307,0.548,0.055,0.029,0.0
mean_rise_rate,-0.334,0.538,0.066,0.003,0.0
max_30day,-0.277,0.467,0.027,0.0,0.0
mean_fall_rate,-0.269,0.461,0.031,0.003,0.0
max_1day,-0.257,0.449,0.026,0.01,0.0
max_3day,-0.249,0.43,0.031,0.014,0.0
max_90day,-0.258,0.424,0.039,0.014,0.0
high_pulse_duration_mean,-0.231,0.419,0.018,0.026,0.01
max_7day,-0.244,0.417,0.027,0.018,0.002
number_of_reversals,-0.179,0.349,0.045,0.069,0.0
month_06_Mar,-0.191,0.335,0.006,0.016,0.0
month_09_Jun,-0.178,0.306,0.037,0.016,0.0
month_07_Apr,-0.168,0.271,0.01,0.023,0.0
month_05_Feb,-0.109,0.205,0.01,0.032,0.0
high_pulse_count,-0.029,0.171,0.008,0.124,0.011
doy_min,0.036,0.138,0.016,0.15,0.081
doy_max,0.11,0.111,0.002,0.285,0.013
low_pulse_count,0.348,0.021,0.0,0.564,0.153
