catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,2.2179,3.0276,2.6492,2.5455,2.2895,1.7113,1.0107,0.582,0.3656,0.4666,0.339,0.8533,0.0824,11.4383,0.0838,9.2879,0.088,7.1677,0.121,4.212,0.2897,3.041,0.059,284.069,75.6207,4.4483,25.9389,17.0,5.4822,0.7894,0.3094,115.3793
2001,2.5945,3.3707,3.2603,3.1824,3.1379,2.5101,1.6706,1.1685,0.8695,0.8427,0.6804,1.3173,0.343,14.354,0.3494,11.5081,0.3606,8.486,0.4425,4.8483,0.7025,3.6539,0.1751,271.5862,109.5172,5.2069,23.3215,20.3793,4.51,1.054,0.442,121.1034
2002,3.3013,3.912,3.8243,3.5782,3.517,2.9083,1.9146,1.0818,0.934,0.9619,0.7397,1.7784,0.1289,18.5743,0.132,15.3819,0.1405,10.917,0.2416,5.8158,0.6904,4.2723,0.0592,249.3793,99.0,9.931,9.3008,21.3448,4.3059,1.0912,0.7322,108.8966
3003,5.5012,5.9671,6.7653,6.5837,5.9577,4.7079,3.2781,1.8699,1.5039,1.677,1.901,4.1075,0.0361,33.9472,0.0444,26.1505,0.0687,17.6463,0.5158,9.8636,1.3324,7.3848,0.0159,221.5862,104.7586,14.1379,6.6125,31.4138,2.8827,2.8576,1.7911,148.6552
4001,4.7368,5.6751,6.7857,7.0099,6.6924,5.5645,4.0681,2.9564,2.1483,1.993,1.8736,3.2433,1.172,19.0998,1.1938,17.0372,1.2415,13.6283,1.4986,8.8953,1.8826,7.3221,0.2811,281.3103,114.069,3.8966,31.1172,11.8276,7.9126,0.6797,0.3834,94.7241
4003,3.2019,3.8956,4.4974,4.3125,4.4059,3.655,2.4169,1.6105,1.2011,1.041,0.8816,1.6371,0.538,20.8602,0.5471,16.7522,0.5592,12.4617,0.6516,6.5785,0.9039,4.8913,0.2043,243.9655,108.2069,5.3793,19.3805,17.0,5.4735,1.4534,0.5006,101.6552
4005,5.8878,6.4382,8.3425,8.1156,7.5029,5.4699,3.8168,2.3725,1.6406,1.6718,1.7996,4.6462,0.927,39.6851,0.9339,30.3026,0.9422,21.0048,1.0787,11.6325,1.4937,8.8273,0.1988,208.7586,113.3793,11.4828,7.4003,23.1724,3.9507,3.254,1.4719,123.6897
4006,6.3044,6.9579,8.7593,8.5473,7.6954,5.7317,4.0425,2.5241,1.8335,1.9384,2.2195,5.2477,0.6535,34.8258,0.6602,28.0693,0.675,20.0472,1.0057,12.0975,1.689,9.3316,0.1325,261.069,103.9655,13.069,7.144,21.5172,4.2161,2.671,1.3885,131.7586
5003,5.2727,6.3382,8.2665,8.7974,8.7592,7.2716,5.6358,4.4853,3.5241,3.114,2.854,4.1768,2.2088,20.5344,2.2532,18.4322,2.3163,16.088,2.5918,11.2931,2.994,9.2224,0.4087,274.6207,115.3103,7.3793,13.0925,11.5862,8.2762,0.9958,0.4443,126.069
6007,4.1721,5.229,6.644,6.9593,6.6422,5.61,4.3253,3.2358,2.5607,2.4355,2.1852,3.1682,1.2354,16.5834,1.2685,15.5249,1.3487,13.3172,1.7313,8.9298,2.2217,7.3017,0.3052,245.5862,118.3103,6.3448,15.4478,11.6207,8.4691,0.6861,0.3965,85.5517
6008,3.5341,4.3391,5.1475,4.8486,4.6541,3.2258,2.0916,0.9875,0.5638,0.6465,0.4264,1.8715,0.0343,24.7996,0.0354,20.1205,0.0386,13.587,0.0776,7.1546,0.3971,5.4511,0.0143,273.9655,110.8276,5.8966,18.4572,16.9655,5.3976,1.2797,0.74,90.3448
