parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_06_Mar,-0.341,0.599,0.061,0.01,0.0
month_02_Nov,-0.326,0.525,0.072,0.003,0.0
month_01_Oct,-0.287,0.515,0.079,0.031,0.0
min_1day,-0.222,0.507,0.09,0.113,0.045
min_3day,-0.235,0.502,0.097,0.11,0.037
min_7day,-0.232,0.496,0.087,0.106,0.026
month_12_Sep,-0.275,0.433,0.052,0.023,0.006
min_30day,-0.209,0.432,0.076,0.089,0.014
base_flow_index,-0.164,0.398,0.023,0.082,0.027
month_03_Dec,-0.236,0.396,0.021,0.014,0.0
low_pulse_duration_mean,-0.216,0.393,0.032,0.031,0.0
month_05_Feb,-0.171,0.38,0.087,0.101,0.003
min_90day,-0.209,0.351,0.047,0.024,0.0
mean_rise_rate,-0.2,0.337,0.021,0.014,0.0
max_3day,-0.166,0.308,0.018,0.053,0.0
max_30day,-0.157,0.304,0.023,0.056,0.0
high_pulse_duration_mean,-0.163,0.3,0.01,0.039,0.016
max_7day,-0.147,0.3,0.024,0.069,0.0
max_90day,-0.162,0.296,0.019,0.04,0.0
mean_fall_rate,-0.192,0.291,0.006,0.01,0.0
max_1day,-0.147,0.279,0.016,0.056,0.0
month_09_Jun,-0.169,0.274,0.032,0.035,0.0
month_11_Aug,-0.177,0.271,0.032,0.027,0.003
month_10_Jul,-0.106,0.233,0.031,0.042,0.0
number_of_reversals,-0.095,0.232,0.013,0.077,0.002
month_07_Apr,-0.104,0.182,0.014,0.039,0.0
doy_min,-0.022,0.179,0.005,0.142,0.061
doy_max,-0.021,0.147,0.0,0.114,0.008
high_pulse_count,0.013,0.142,0.005,0.147,0.018
month_08_May,-0.065,0.138,0.021,0.053,0.0
month_04_Jan,0.053,0.105,0.01,0.177,0.006
low_pulse_count,0.245,0.047,0.0,0.44,0.063
