catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.1969,2.8702,2.5517,2.6129,2.4462,1.5551,0.9028,0.7058,0.3225,0.2108,0.2095,0.5072,0.0501,10.0451,0.0509,8.4215,0.0531,6.6216,0.0812,3.9918,0.1602,2.9112,0.0386,299.8667,78.8667,4.6667,26.8796,16.1,5.013,0.6875,0.268,115.5
2001,1.6509,3.127,3.1895,3.3428,3.2463,2.2869,1.5481,1.3439,0.7936,0.5387,0.4219,0.8804,0.216,13.3324,0.2185,10.674,0.2241,7.792,0.2819,4.6383,0.4732,3.6064,0.1205,294.4,101.7,5.5333,26.5902,19.5667,4.5271,0.9709,0.3884,121.6333
2002,2.1891,3.8551,3.9868,3.9622,3.8622,2.5966,1.6125,1.475,0.6659,0.4011,0.3778,1.3147,0.09,17.2158,0.092,14.1357,0.0971,9.9871,0.1453,5.8627,0.3742,4.4328,0.0446,279.6333,110.5333,9.0333,12.2744,20.7333,4.2594,0.9772,0.6558,110.6667
3003,3.9376,5.8715,6.9728,7.5121,6.9165,4.8113,3.3514,2.4347,1.2722,1.1677,1.4579,3.9551,0.0412,29.5556,0.0478,21.2169,0.0654,15.392,0.3447,9.9436,1.0408,7.7868,0.0155,272.6333,107.0333,12.0667,7.6986,31.7667,2.979,2.7935,1.7981,153.8333
4001,3.6278,4.9508,7.1411,8.0386,7.5439,5.7986,4.041,3.2993,2.2129,1.623,1.4948,2.7757,0.9213,15.8861,0.9354,14.7553,0.9688,12.9649,1.1894,9.607,1.6228,7.9995,0.2218,294.6333,106.1333,3.4333,35.1728,10.6,9.1195,0.5983,0.3463,95.0667
4003,1.9223,3.4958,4.5761,4.7395,4.5825,3.5742,2.1405,1.992,1.1431,0.8124,0.6273,1.0527,0.4065,17.2207,0.4131,13.821,0.4249,10.6019,0.5122,6.5102,0.7079,5.0959,0.1661,246.0333,108.9,6.1667,23.8438,15.2667,5.8969,1.3382,0.4353,99.2333
4005,4.3706,6.4854,9.4714,9.3696,8.6033,6.0067,3.854,2.8634,1.5451,1.2524,1.4283,4.2774,0.9203,35.2133,0.924,26.1277,0.9385,19.7239,0.9883,12.5957,1.3092,9.8129,0.1924,243.6,108.8,11.7667,9.4232,23.1667,4.3737,3.2886,1.4567,124.2333
4006,4.7683,6.7587,9.878,9.9172,9.1669,6.3057,4.2302,3.0808,1.7029,1.3885,1.7202,5.0921,0.6112,32.705,0.6191,25.4538,0.6402,19.5926,0.7882,13.1872,1.4246,10.3071,0.1212,238.1667,100.3333,11.3333,8.4884,20.7667,4.8617,2.6517,1.4051,132.6
5003,4.3769,5.8639,9.1795,10.7298,10.054,7.7113,5.8345,4.8315,3.6357,2.9258,2.596,3.8255,2.0149,21.0864,2.0431,18.4643,2.0912,16.5124,2.364,12.7509,2.8553,10.4728,0.3531,287.8,109.2,5.8667,18.872,11.2,9.248,0.958,0.4471,130.2667
6007,3.427,4.7575,7.3436,8.4662,7.9342,5.9837,4.2775,3.6216,2.5285,2.0405,1.9527,2.9012,1.0513,17.2581,1.0767,16.2576,1.1374,14.2726,1.4914,10.2983,2.0089,8.3094,0.2483,267.1667,107.1667,5.4,21.2574,10.6667,9.5264,0.6464,0.3856,85.3667
