catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.9617,2.8652,2.2876,2.5725,2.5391,1.3734,0.7831,0.3418,0.2468,0.1867,0.3898,1.0394,0.0545,10.6386,0.0593,8.7799,0.0639,6.7533,0.085,4.2287,0.1745,2.9572,0.0465,289.2333,97.8,4.9667,25.5982,16.8,5.3594,0.7644,0.2898,118.0667
2001,2.3543,3.4244,2.8174,3.2592,3.2864,2.1437,1.4827,0.9261,0.6647,0.5156,0.6518,1.3431,0.2813,14.1088,0.2855,10.6623,0.2946,7.8099,0.3593,4.9101,0.5231,3.5907,0.1553,303.1667,76.1333,5.5333,22.9948,19.5333,4.4978,1.0494,0.4121,125.1667
2002,3.0537,4.0538,3.3277,3.8589,3.8332,2.3982,1.515,0.7934,0.6678,0.57,0.8816,1.859,0.1108,17.5624,0.1135,14.0657,0.1188,9.8257,0.2138,6.0158,0.5085,4.3212,0.0539,286.5,78.2333,11.3,8.6408,21.7,4.2014,1.0676,0.7027,109.5
3003,5.0755,6.6147,5.4585,6.7111,6.1681,4.42,2.8221,1.6804,0.9755,1.5026,2.0715,4.4297,0.0373,32.4033,0.0471,22.6126,0.0713,15.9251,0.4466,9.7646,1.1284,7.1978,0.0177,241.2,144.4,13.6333,6.5468,30.6,2.8551,2.7695,1.764,151.9667
4001,4.6386,6.4741,6.0888,7.2163,7.0065,5.2723,3.9081,2.7033,1.7796,1.6587,1.852,3.3073,1.0182,16.4609,1.0364,15.0961,1.0865,13.0772,1.3243,9.5621,1.6714,7.536,0.2533,281.4667,108.1,3.3,37.2335,12.0667,7.3177,0.6366,0.3513,91.7333
4003,3.1455,4.3626,3.9377,4.8531,4.6277,3.1758,2.0717,1.3803,0.9948,0.816,0.8351,1.578,0.4967,18.9811,0.5081,14.7011,0.516,11.3707,0.6074,7.1288,0.7849,5.1131,0.1953,265.4667,99.0667,6.2333,19.2958,16.5,5.3686,1.6245,0.4991,102.1667
4005,6.1187,7.6585,7.3177,8.3761,7.8224,5.2427,3.4928,2.0761,1.3115,1.4693,1.7346,4.3981,0.9645,33.8389,0.9658,25.3849,0.9699,18.9197,1.0532,12.2012,1.3416,9.0424,0.207,255.5333,119.5667,9.7,7.393,21.7,4.1374,3.3301,1.4377,122.3
4006,6.3768,8.1274,7.4885,8.7222,7.998,5.5943,3.7539,2.1888,1.3411,1.7794,2.1353,5.1767,0.6453,32.0569,0.6493,24.954,0.6613,19.6314,0.8977,12.5107,1.469,9.3655,0.1328,247.9667,127.5667,10.8,7.9508,20.2,4.3965,2.6349,1.3529,132.0667
5003,5.4575,7.3286,7.7385,9.1332,8.8949,7.2168,5.652,4.276,3.3073,2.8925,2.7459,3.9194,2.1818,18.9999,2.2122,17.2782,2.263,15.4578,2.4864,11.9685,2.8475,9.4262,0.3994,262.5667,101.6,5.9,17.5164,11.5333,8.297,0.9624,0.4286,126.7
6007,4.5662,5.9604,6.1135,7.3264,7.2248,5.6107,4.2761,2.9844,2.2216,2.2223,2.1862,3.2867,1.1683,16.5246,1.1954,15.5957,1.2693,13.6359,1.652,9.8911,2.0714,7.6874,0.2842,271.4667,99.5333,5.9,16.0888,11.9333,7.9257,0.6558,0.3911,84.2667
6008,3.9944,4.873,4.8115,5.5122,5.0644,3.1681,1.7149,0.6771,0.2778,0.378,0.4437,1.9338,0.0234,22.4354,0.0244,18.6544,0.027,13.4444,0.0671,8.3799,0.2598,5.9586,0.01,292.3667,89.6333,5.5333,17.3432,16.7333,5.529,1.351,0.7554,91.7
7001,3.3898,4.0478,3.406,4.2013,3.9589,3.2691,2.4204,1.4274,1.3426,1.388,1.8767,2.4978,0.5538,24.738,0.5665,18.2783,0.5983,13.2167,0.7681,6.8958,1.2057,4.7023,0.2162,225.3333,104.0667,13.2333,6.3664,26.6,3.4548,2.2091,0.9433,137.3
7002,2.8329,3.3607,2.7795,3.2723,3.204,2.2675,1.6173,0.9837,0.8949,1.0156,1.535,2.0845,0.1909,18.7396,0.2029,13.9092,0.2268,9.6112,0.3653,5.342,0.7831,3.6823,0.1037,248.8667,123.6333,11.4667,7.7038,21.1,4.4274,1.2692,0.5598,132.6333
7003,1.059,1.5231,1.2409,1.2697,1.5306,1.4114,0.9576,0.7606,0.5822,0.4911,0.57,0.6683,0.1119,7.8544,0.1214,6.4225,0.1433,4.5459,0.2334,2.4743,0.4068,1.7078,0.1394,244.3333,126.5,8.2667,13.5173,14.5,5.7034,0.3275,0.1797,100.3667
7005,1.904,2.2572,1.7328,1.6937,1.9273,1.4787,0.8444,0.6399,0.6051,0.6176,1.0483,1.4397,0.2578,14.9025,0.2627,10.5937,0.2677,7.3747,0.3133,3.6295,0.4725,2.3432,0.1992,274.7333,138.2333,8.2333,13.6553,18.9,4.8722,0.9218,0.3145,111.0333
7006,1.6402,1.7799,1.4597,1.4952,1.7571,1.669,1.29,1.2065,1.0992,1.0084,1.2208,1.2506,0.1683,10.5986,0.1862,8.5515,0.2237,5.7398,0.4697,3.0526,0.8247,2.0513,0.161,232.2667,122.1,17.0,5.1543,21.2,4.0857,0.6104,0.3646,107.6333
8004,2.624,3.1228,2.7458,2.9257,3.1139,2.5537,1.9535,1.5511,1.4957,1.4856,1.7684,1.8896,0.4359,15.7636,0.4704,11.9351,0.5471,8.3864,0.8602,4.7438,1.2736,3.4241,0.2398,257.4333,129.2,12.6333,6.6452,23.0,3.9723,1.0154,0.4308,134.9
8005,2.1691,2.9043,3.2502,3.8767,3.9333,3.9458,3.0024,2.191,1.7334,1.5727,1.4519,1.6086,0.965,9.7849,0.9838,9.1271,1.0258,7.9213,1.1886,5.4906,1.4591,4.213,0.3891,269.2333,120.6667,5.5,20.1928,12.4667,7.3034,0.3999,0.2109,99.2333
8006,1.8833,2.4069,2.4632,2.8537,3.059,2.5847,1.9758,1.5522,1.3785,1.3224,1.2983,1.407,0.4328,8.2367,0.4614,7.3516,0.5259,5.9067,0.8061,4.0971,1.1591,3.1183,0.2581,266.4,116.9,9.1333,9.7544,15.7667,5.7548,0.43,0.2433,104.3
8009,2.0248,2.8199,2.6529,3.2506,3.2565,2.349,1.6111,1.0336,0.8052,0.8046,0.9381,1.2797,0.1844,15.1684,0.2041,11.3732,0.2495,8.393,0.4084,4.9194,0.6968,3.4867,0.1285,251.2,113.1,9.2667,9.5822,21.1667,4.3907,1.0604,0.4704,135.1667
8011,1.883,2.3194,2.1165,2.1048,2.4052,2.0839,1.6443,1.4032,1.2847,1.2256,1.3282,1.3729,0.3921,12.6111,0.4213,9.037,0.4814,6.1476,0.7204,3.5473,1.0542,2.5957,0.2738,254.2667,137.0,9.9667,9.74,20.2333,4.3863,0.7397,0.298,133.8667
8013,2.9572,3.7734,3.7006,4.2695,4.0509,4.3996,3.0314,1.8904,1.5964,1.5538,1.6146,1.9768,0.4034,22.354,0.4357,17.3721,0.5115,12.4554,0.8979,7.0642,1.4196,4.8514,0.1723,228.5333,142.2,8.8667,9.9408,19.0667,4.7612,1.4156,0.5737,129.5
9002,1.6844,2.3823,1.9444,1.9058,2.1757,1.8056,1.1704,0.9554,0.6886,0.6246,0.7772,0.951,0.1527,10.2024,0.1673,8.2698,0.2052,5.8548,0.3369,3.5262,0.5451,2.5054,0.1428,291.3333,102.1,8.7,13.3585,12.4,7.9664,0.4153,0.2413,102.5333
9003,1.7723,2.409,1.7874,1.7446,1.9352,1.5817,0.9715,0.6939,0.4566,0.3472,0.6286,0.8709,0.1814,14.4995,0.1855,10.3633,0.1906,7.2678,0.2274,3.6534,0.3431,2.4479,0.149,283.4667,88.7333,4.1,36.9169,18.7333,4.92,0.7288,0.2604,122.9667
9004,1.1928,1.9126,1.8681,1.9027,2.1766,1.9442,1.4437,1.1726,0.8151,0.6452,0.5846,0.6938,0.2237,6.3479,0.2403,5.2512,0.2582,4.2648,0.3536,3.0315,0.5403,2.2962,0.1934,247.4667,101.3667,6.1333,21.1846,8.7,12.3206,0.2926,0.1206,132.1667
9005,2.4377,2.775,2.3413,2.336,2.6468,2.1887,1.6752,1.4785,1.3568,1.2843,1.5075,1.5866,0.5828,17.8275,0.6001,13.0901,0.6364,8.795,0.8034,4.4336,1.1216,3.0347,0.3283,240.7667,127.9,15.2333,5.1709,22.2,4.1127,1.2629,0.519,136.4333
10002,1.5222,2.0885,1.82,1.8084,2.126,1.528,1.0841,0.8683,0.5975,0.513,0.559,0.7714,0.1967,8.6824,0.2121,7.1094,0.2313,5.1609,0.3153,3.0772,0.4572,2.2798,0.1818,266.1667,80.1333,6.1667,17.3764,13.9,7.6694,0.3572,0.1943,103.8333
10003,1.2862,1.8802,1.8523,1.8643,2.1102,1.6246,1.1388,0.8917,0.6138,0.5158,0.5369,0.6747,0.2214,6.094,0.2387,5.4004,0.2536,4.2201,0.3404,2.8397,0.4656,2.217,0.2057,245.7,81.9333,4.1667,26.9355,6.6333,19.1317,0.2024,0.1001,92.1667
11001,1.2288,1.872,1.8968,1.9485,2.2054,1.7901,1.2557,0.9781,0.7427,0.6793,0.6672,0.7124,0.2568,6.0383,0.2731,5.3857,0.2951,4.3071,0.4171,2.9438,0.5869,2.2689,0.226,256.8333,99.0,5.2333,21.352,8.2,15.2941,0.2316,0.1146,94.6333
