catchment_id,month_01_Oct,month_02_Nov,month_03_Dec,month_04_Jan,month_05_Feb,month_06_Mar,month_07_Apr,month_08_May,month_09_Jun,month_10_Jul,month_11_Aug,month_12_Sep,min_1day,max_1day,min_3day,max_3day,min_7day,max_7day,min_30day,max_30day,min_90day,max_90day,base_flow_index,doy_min,doy_max,low_pulse_count,low_pulse_duration_mean,high_pulse_count,high_pulse_duration_mean,mean_rise_rate,mean_fall_rate,number_of_reversals
1001,1.6059,2.7536,2.8447,2.4973,2.4624,1.4859,0.8213,0.4126,0.251,0.2518,0.2559,0.7801,0.046,10.2097,0.0467,8.6656,0.0498,6.6725,0.0718,4.0571,0.1512,3.0311,0.0357,280.7,93.1333,4.8,32.456,16.4333,5.8587,0.7989,0.2808,113.6333
2001,1.9716,3.3686,3.3467,3.2352,3.2629,2.2238,1.5265,0.9686,0.6016,0.5007,0.4745,0.9933,0.2099,13.6035,0.2138,10.7207,0.2253,7.6424,0.2921,4.7833,0.4393,3.6931,0.1202,255.7333,103.4,6.0,26.5329,18.8667,4.9764,1.0642,0.3957,119.2
2002,2.6643,4.1829,3.968,3.7494,3.7793,2.5142,1.5362,0.7834,0.4385,0.5864,0.5258,1.3801,0.0838,17.2877,0.0854,13.8092,0.0911,9.5891,0.1413,5.8975,0.3865,4.4405,0.0417,282.1333,82.0667,9.2333,12.8949,19.7,4.6723,1.0199,0.6531,107.8333
3003,5.6716,6.9707,6.4709,6.7637,6.4276,4.8686,2.9933,1.631,1.2055,1.3869,1.4722,4.0451,0.0441,32.1266,0.0504,22.0631,0.0733,15.8663,0.3254,10.3186,1.0339,7.6929,0.0171,267.9667,118.0,11.8667,8.9123,30.4667,3.1243,2.8193,1.772,149.1
4001,4.7197,6.8092,6.8818,7.3478,7.0607,5.6407,4.044,2.8375,1.8768,1.6141,1.5539,2.7223,0.8871,15.8133,0.9037,14.4829,0.9405,12.6444,1.1813,9.93,1.563,7.8188,0.2128,291.6333,93.4,3.5,37.3856,10.5667,9.5244,0.6237,0.347,92.8333
4003,2.4894,4.481,4.619,4.648,4.4018,3.332,2.1248,1.4293,0.9633,0.8479,0.7066,1.0753,0.3691,18.8866,0.3716,14.4129,0.3971,10.6297,0.5044,7.1063,0.7034,5.179,0.1535,234.7,96.8,5.6667,26.8217,15.9,5.7777,1.4923,0.4554,100.0667
4005,6.3588,8.6132,8.0524,8.6157,7.8679,5.8552,3.7225,2.1422,1.3675,1.4016,1.3905,3.6723,0.8957,35.4022,0.9023,26.3555,0.9146,19.2174,0.9561,13.0467,1.2535,9.5328,0.1892,226.7,105.0,9.7,11.7459,22.2,4.4971,3.3501,1.4114,117.9333
4006,7.1732,9.0564,8.2356,8.9569,8.3824,6.2666,4.0122,2.3132,1.5443,1.647,1.6229,4.5167,0.5847,32.8026,0.5949,25.5312,0.6076,19.5353,0.746,13.5534,1.3729,9.9665,0.116,250.2667,98.0,10.2333,9.9323,20.3667,4.9477,2.6644,1.3538,128.8333
5003,5.3493,8.0151,8.2562,9.4874,9.1579,7.7858,5.8656,4.5443,3.3994,2.8034,2.4675,3.2161,1.8887,18.468,1.9123,16.7119,1.9661,15.3192,2.222,12.4852,2.6719,9.804,0.338,288.3667,94.8667,6.5,20.7518,10.8,9.6882,0.8916,0.4129,128.0
6007,4.3001,6.5188,6.551,7.5287,7.3871,5.905,4.4134,3.1955,2.2584,1.9467,1.8634,2.5952,1.0147,15.5542,1.0367,14.6935,1.105,13.0378,1.4514,9.9945,1.8731,7.8731,0.2444,277.5,93.2333,5.0333,22.1884,10.6333,9.3353,0.6153,0.3654,87.7667
6008,3.3593,5.6603,5.0452,5.4657,5.14,3.1704,1.8307,0.7908,0.2328,0.3103,0.3588,1.1181,0.0133,20.4695,0.0138,16.7156,0.0151,12.4429,0.0329,8.4323,0.199,6.1015,0.0056,309.0667,101.2,4.2,32.7275,16.1333,6.0317,1.2736,0.6993,91.2667
