parameter,mean_HA,frac_departure,frac_high_departure,frac_concentration,frac_high_concentration
month_05_Feb,-0.356,0.663,0.034,0.023,0.0
month_11_Aug,-0.217,0.39,0.026,0.023,0.002
month_09_Jun,-0.191,0.383,0.085,0.082,0.002
month_10_Jul,-0.202,0.383,0.027,0.039,0.0
min_90day,-0.222,0.367,0.019,0.011,0.0
number_of_reversals,-0.183,0.353,0.014,0.04,0.0
mean_rise_rate,-0.197,0.325,0.008,0.019,0.0
doy_max,-0.14,0.306,0.014,0.101,0.0
mean_fall_rate,-0.201,0.304,0.003,0.002,0.0
max_1day,-0.163,0.301,0.016,0.047,0.0
max_7day,-0.162,0.291,0.013,0.024,0.0
min_3day,-0.108,0.29,0.016,0.074,0.034
high_pulse_duration_mean,-0.16,0.288,0.008,0.032,0.014
max_30day,-0.162,0.285,0.014,0.042,0.0
month_02_Nov,-0.149,0.283,0.011,0.027,0.0
min_1day,-0.093,0.28,0.011,0.074,0.042
max_3day,-0.161,0.28,0.011,0.035,0.0
min_30day,-0.134,0.279,0.018,0.058,0.014
min_7day,-0.102,0.277,0.014,0.061,0.029
month_06_Mar,-0.063,0.266,0.003,0.155,0.002
month_01_Oct,-0.14,0.261,0.014,0.042,0.0
month_07_Apr,-0.156,0.259,0.005,0.019,0.0
month_08_May,-0.15,0.258,0.031,0.045,0.0
month_03_Dec,-0.13,0.246,0.006,0.031,0.0
month_12_Sep,-0.127,0.224,0.006,0.039,0.002
low_pulse_duration_mean,-0.068,0.219,0.006,0.113,0.002
base_flow_index,-0.052,0.179,0.0,0.09,0.031
max_90day,-0.1,0.177,0.006,0.05,0.002
doy_min,0.001,0.167,0.027,0.172,0.018
month_04_Jan,0.087,0.121,0.003,0.269,0.01
high_pulse_count,0.039,0.111,0.0,0.176,0.011
low_pulse_count,0.242,0.032,0.0,0.415,0.06
